asset,tenor,moneyness,column,origins,populated,coverage
AAPL,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,30955,16275,0.5257632046519141
AAPL,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,30955,17245,0.5570990146987562
AAPL,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,30955,13060,0.42190276207397837
AAPL,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,30955,2217,0.07162009368438055
AAPL,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,30955,11123,0.35932805685672753
AAPL,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,30955,26528,0.8569859473429171
AAPL,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,30955,26570,0.8583427556129866
AAPL,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,30955,26433,0.8539169762558553
AAPL,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,30955,11767,0.3801324503311258
AAPL,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,30955,22076,0.7131642707155549
AAPL,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,30955,30826,0.9958326603133582
AAPL,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,30955,30881,0.9976094330479729
AAPL,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,30955,30865,0.997092553706994
AAPL,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,30955,30581,0.9879179454046196
AAPL,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,30955,30760,0.9937005330318204
AAPL,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,30955,30881,0.9976094330479729
AAPL,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,30955,30888,0.9978355677596511
AAPL,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,30955,30886,0.9977709578420287
AAPL,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,30955,28646,0.9254078501049912
AAPL,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,30955,30380,0.9814246486835729
AAPL,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,30955,30554,0.9870457115167178
AAPL,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,30955,30821,0.9956711355193022
AAPL,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,30955,30664,0.9905992569859473
AAPL,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,30955,30852,0.9966725892424487
AAPL,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,30955,30847,0.9965110644483929
AMZN,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,30955,16606,0.5364561460184138
AMZN,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,30955,17144,0.5538362138588273
AMZN,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,30955,14658,0.47352608625424003
AMZN,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,30955,3747,0.12104668066548215
AMZN,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,30955,11485,0.3710224519463738
AMZN,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,30955,26529,0.8570182523017283
AMZN,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,30955,26570,0.8583427556129866
AMZN,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,30955,26558,0.8579550961072525
AMZN,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,30955,17562,0.5673396866418995
AMZN,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,30955,22992,0.7427556129865934
AMZN,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,30955,30791,0.9947019867549669
