asset,tenor,moneyness,column,origins,populated,coverage
AAPL,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,1625,1455,0.8953846153846153
AAPL,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,1625,1625,1.0
AAPL,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,1625,1103,0.6787692307692308
AAPL,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,1625,131,0.08061538461538462
AAPL,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,1625,695,0.4276923076923077
AAPL,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,1625,1611,0.9913846153846154
AAPL,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,1625,1625,1.0
AAPL,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,1625,1625,1.0
AAPL,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,1625,710,0.4369230769230769
AAPL,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,1625,1007,0.6196923076923077
AAPL,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,1625,1623,0.9987692307692307
AAPL,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,1625,1625,1.0
AAPL,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,1625,1624,0.9993846153846154
AAPL,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,1625,1623,0.9987692307692307
AAPL,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,1625,1619,0.9963076923076923
AAPL,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,1625,1625,1.0
AAPL,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,1625,1625,1.0
AAPL,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,1625,1625,1.0
AAPL,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,1625,1594,0.9809230769230769
AAPL,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,1625,1567,0.9643076923076923
AAPL,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,1625,1613,0.9926153846153846
AAPL,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,1625,1625,1.0
AAPL,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,1625,1617,0.9950769230769231
AAPL,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,1625,1624,0.9993846153846154
AAPL,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,1625,1625,1.0
AMZN,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,1625,1425,0.8769230769230769
AMZN,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,1625,1625,1.0
AMZN,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,1625,1280,0.7876923076923077
AMZN,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,1625,356,0.21907692307692309
AMZN,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,1625,958,0.5895384615384616
AMZN,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,1625,1615,0.9938461538461538
AMZN,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,1625,1625,1.0
AMZN,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,1625,1625,1.0
AMZN,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,1625,1106,0.6806153846153846
AMZN,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,1625,1251,0.7698461538461538
AMZN,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,1625,1623,0.9987692307692307
AMZN,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,1625,1624,0.9993846153846154
AMZN,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,1625,1625,1.0
AMZN,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,1625,1623,0.9987692307692307
AMZN,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,1625,1613,0.9926153846153846
AMZN,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,1625,1624,0.9993846153846154
AMZN,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,1625,1625,1.0
AMZN,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,1625,1625,1.0
AMZN,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,1625,1616,0.9944615384615385
AMZN,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,1625,1581,0.9729230769230769
AMZN,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,1625,1610,0.9907692307692307
