horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,confirmation,QQQ_ret_30,feature,raw,25,-0.026535605641240346,-0.026936290132416826,0.026535605641240346,-0.029257154979349043,-0.023913258990992347,0,25,0,25,0.0,1.0
5,confirmation,QQQ_rv_30,feature,log,25,0.025591362370128587,0.019424530063191156,0.025591362370128587,0.01533930448762162,0.062372103243182694,25,0,0,25,1.0,0.0
5,confirmation,SPY_ret_30,feature,raw,25,-0.022749777957024434,-0.022474589672724102,0.022749777957024434,-0.024835422868049774,-0.021408152557077252,0,25,0,25,0.0,1.0
5,confirmation,SPY_rv_30,feature,log,25,0.06528245239975387,0.06687337795851579,0.06528245239975387,0.053165790537088836,0.07087116457546762,25,0,0,25,1.0,0.0
5,confirmation,asset_effect:AMZN,feature,raw,25,0.01768957238106731,0.01706890274964015,0.01768957238106731,0.016441101147231605,0.02161146127823642,25,0,0,25,1.0,0.0
5,confirmation,asset_effect:META,feature,raw,25,-0.006228519504130646,-0.01237715904821372,0.016552015561127984,-0.017464289185550118,0.03236647876442785,4,21,0,25,0.16,0.84
5,confirmation,asset_effect:MSFT,feature,raw,25,-0.005916597505844821,-0.008729927056275906,0.009557852322977093,-0.01104241469841986,0.011635380205997553,4,21,0,25,0.16,0.84
5,confirmation,asset_effect:NVDA,feature,raw,25,-0.019377540591348205,-0.01633207030308529,0.019377540591348205,-0.035449283361684056,-0.015251732751376717,0,25,0,25,0.0,1.0
5,confirmation,asset_effect:TSLA,feature,raw,25,-0.04129794860676275,-0.04503270599203261,0.04129794860676275,-0.052135210321189604,-0.012601848208067572,0,25,0,25,0.0,1.0
5,confirmation,b1_butterfly_25,feature,raw,25,0.001922740232600544,0.0017624124789012287,0.001922740232600544,0.0013320321204889354,0.003147199008166997,25,0,0,25,1.0,0.0
5,confirmation,b1_iv_14d,feature,log,25,-0.01291635731223929,-0.0141574784970128,0.01291635731223929,-0.015143688684386637,-0.005175639111316073,0,25,0,25,0.0,1.0
5,confirmation,b1_iv_30d,feature,log,25,-0.06924862147735995,-0.08302030025683813,0.07166395625822564,-0.08827122078106922,0.007619212736536511,4,21,0,25,0.16,0.84
5,confirmation,b1_iv_60d,feature,log,25,0.012613684799370983,0.012592128820711035,0.012613684799370983,0.01061727078144083,0.013801558231480287,25,0,0,25,1.0,0.0
5,confirmation,b1_iv_7d,feature,log,25,0.029647067439473585,0.032311176824359286,0.029647067439473585,0.014382318992735853,0.03414398756593306,25,0,0,25,1.0,0.0
5,confirmation,b1_iv_90d,feature,log,25,0.06663307337763907,0.07475432575719868,0.06663307337763907,0.01861170398505945,0.07982468332728522,25,0,0,25,1.0,0.0
