horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,confirmation,presence:b1_butterfly_25,presence,finite_presence_binary,25,-0.002491086826384,0.0,0.002491086826384,-0.0130862486162259,0.0,0,5,20,5,0.0,0.2
5,confirmation,presence:b1_iv_14d,presence,finite_presence_binary,25,0.0017241571282985,0.0,0.0017241571282985,0.0,0.0431039282074638,1,0,24,1,0.04,0.0
5,confirmation,presence:b1_iv_30d,presence,finite_presence_binary,25,0.0037155744052174,0.0,0.0064938726466028,-0.0173883749799114,0.0429841944854082,3,2,20,5,0.12,0.08
5,confirmation,presence:b1_iv_60d,presence,finite_presence_binary,25,0.0051744171732359,0.0,0.0051744171732359,0.0,0.0432309565164506,3,0,22,3,0.12,0.0
5,confirmation,presence:b1_iv_7d,presence,finite_presence_binary,25,0.0017098660224536,0.0,0.0017098660224536,0.0,0.0427466505613417,1,0,24,1,0.04,0.0
5,confirmation,presence:b1_iv_90d,presence,finite_presence_binary,25,0.0068448460693907,0.0,0.0068448460693907,0.0,0.043662762263051,4,0,21,4,0.16,0.0
5,confirmation,presence:b1_iv_minus_trailing_rv_30d,presence,finite_presence_binary,25,0.0051702052508904,0.0,0.0051702052508904,0.0,0.0432452125165369,3,0,22,3,0.12,0.0
5,confirmation,presence:b1_mfiv,presence,finite_presence_binary,25,0.0872371154206798,0.1069643039668853,0.0924942156937877,-0.016459502629244,0.107557713109625,21,4,0,25,0.84,0.16
5,confirmation,presence:b1_risk_reversal_25,presence,finite_presence_binary,25,-0.0103725805976828,-0.0122995731594127,0.0103725805976828,-0.0150077452241545,0.0,0,20,5,20,0.0,0.8
5,confirmation,presence:b1_smile_curvature,presence,finite_presence_binary,25,0.001690067736275,0.0,0.001690067736275,0.0,0.0422516934068763,1,0,24,1,0.04,0.0
5,confirmation,presence:b1_smile_level,presence,finite_presence_binary,25,0.0017251521023624,0.0,0.0017251521023624,0.0,0.043128802559061,1,0,24,1,0.04,0.0
5,confirmation,presence:b1_smile_slope,presence,finite_presence_binary,25,0.0017136090326252,0.0,0.0017136090326252,0.0,0.042840225815632,1,0,24,1,0.04,0.0
5,confirmation,presence:b1_term_convexity,presence,finite_presence_binary,25,0.001691688621055,0.0,0.001691688621055,0.0,0.0422922155263753,1,0,24,1,0.04,0.0
5,confirmation,presence:b1_term_slope,presence,finite_presence_binary,25,0.002714421813916,0.0,0.0041042203649183,-0.0173724818875286,0.0428308479199771,2,1,22,3,0.08,0.04
5,confirmation,presence:b2_30m_buy_premium_share,presence,finite_presence_binary,25,0.001204354727125,0.0,0.0026775014606493,-0.0184143341690536,0.0165583264366352,3,1,21,4,0.12,0.04
5,confirmation,presence:b2_30m_contracts,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_d_iv,presence,finite_presence_binary,25,0.000533845302509,0.0,0.0020095496589624,-0.0184463044556669,0.017008919893497,2,1,22,3,0.08,0.04
5,confirmation,presence:b2_30m_d_mid_rel,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_d_spread,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_decay_intensity_innovation,presence,finite_presence_binary,25,0.0025885728686213,0.0,0.0025885728686213,0.0,0.0168910364148363,4,0,21,4,0.16,0.0
5,confirmation,presence:b2_30m_decay_intensity_last,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_delta_flow,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_gamma_flow,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_multileg_premium_share,presence,finite_presence_binary,25,0.001857404522322,0.0,0.001857404522322,0.0,0.015755156878238,3,0,22,3,0.12,0.0
5,confirmation,presence:b2_30m_multileg_size_share,presence,finite_presence_binary,25,0.0006882806224844,0.0,0.0006882806224844,0.0,0.0172070155621117,1,0,24,1,0.04,0.0
5,confirmation,presence:b2_30m_otm_premium_share,presence,finite_presence_binary,25,-0.0001259771523743,0.0,0.0013460206364066,-0.0183999723597622,0.0152505435504045,1,1,23,2,0.04,0.04
5,confirmation,presence:b2_30m_passive_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_premium,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_rate_per_second,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_sell_premium_share,presence,finite_presence_binary,25,0.0006515622443418,0.0,0.0006515622443418,0.0,0.016289056108545,1,0,24,1,0.04,0.0
5,confirmation,presence:b2_30m_size,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_sweep_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_30m_trades,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
