horizon_minutes,window,family,information_set,N_sessions,N_origins,loss_above_5,max_qlike,selected_rounds_min,selected_rounds_max
5,confirmation,lightgbm_qlike,B0,25,9750,22,428.3333678823436,27.0,335.0
5,confirmation,lightgbm_qlike,B1,25,9750,19,389.60098805812123,25.0,524.0
5,confirmation,lightgbm_qlike,B2,25,9750,19,432.00189773135475,27.0,434.0
5,confirmation,log_ridge_harq,B0,25,9750,24,428.75274464579155,,
5,confirmation,log_ridge_harq,B1,25,9750,24,430.08770844824795,,
5,confirmation,log_ridge_harq,B2,25,9750,24,390.58366904834446,,
5,primary,lightgbm_qlike,B0,419,160832,504,170.7699166170031,18.0,763.0
5,primary,lightgbm_qlike,B1,419,160832,485,172.91617041934,18.0,716.0
5,primary,lightgbm_qlike,B2,419,160832,490,191.05721334733641,17.0,812.0
5,primary,log_ridge_harq,B0,419,160832,491,205.91024413919166,,
5,primary,log_ridge_harq,B1,419,160832,481,202.44260780377158,,
5,primary,log_ridge_harq,B2,419,160832,471,199.67891737275937,,
15,confirmation,lightgbm_qlike,B0,25,9750,12,195.44525995727912,29.0,544.0
15,confirmation,lightgbm_qlike,B1,25,9750,13,172.59064220162523,31.0,723.0
15,confirmation,lightgbm_qlike,B2,25,9750,13,192.6825817510221,29.0,632.0
15,confirmation,log_ridge_harq,B0,25,9750,14,209.3749698140179,,
15,confirmation,log_ridge_harq,B1,25,9750,13,209.58243028616923,,
15,confirmation,log_ridge_harq,B2,25,9750,14,191.5348457331172,,
15,primary,lightgbm_qlike,B0,419,160832,393,103.97963399689642,16.0,1013.0
15,primary,lightgbm_qlike,B1,419,160832,371,101.52803480445671,16.0,788.0
15,primary,lightgbm_qlike,B2,419,160832,392,99.24759637321971,16.0,847.0
15,primary,log_ridge_harq,B0,419,160832,386,99.21192793204295,,
15,primary,log_ridge_harq,B1,419,160832,376,104.16545109508267,,
15,primary,log_ridge_harq,B2,419,160832,364,105.75930940806549,,
30,confirmation,lightgbm_qlike,B0,25,9750,13,86.72445176541083,30.0,438.0
30,confirmation,lightgbm_qlike,B1,25,9750,14,82.499760830723,28.0,727.0
30,confirmation,lightgbm_qlike,B2,25,9750,13,84.42321301181384,30.0,650.0
30,confirmation,log_ridge_harq,B0,25,9750,14,99.96002964631165,,
30,confirmation,log_ridge_harq,B1,25,9750,14,98.06766157181,,
30,confirmation,log_ridge_harq,B2,25,9750,14,90.61908996735973,,
30,primary,lightgbm_qlike,B0,419,160832,320,60.26063216555286,15.0,958.0
30,primary,lightgbm_qlike,B1,419,160832,306,56.42690308951314,17.0,1101.0
30,primary,lightgbm_qlike,B2,419,160832,320,55.703307392956276,16.0,1062.0
30,primary,log_ridge_harq,B0,419,160832,323,56.43290988789576,,
30,primary,log_ridge_harq,B1,419,160832,312,56.2133752403332,,
30,primary,log_ridge_harq,B2,419,160832,310,56.89617716318724,,
