horizon_minutes,window,information_set,N_sessions,count_low,count_high,removed_min,removed_median,removed_max,active_min,active_median,active_max,train_rows_min,train_rows_max
5,confirmation,B0,25,0,0,5,5.0,5,30,30.0,30,182282,191642
5,confirmation,B1,25,0,0,17,17.0,17,98,98.0,98,182282,191642
5,confirmation,B2,25,0,0,88,88.0,88,165,165.0,165,182282,191642
5,primary,B0,419,0,196,5,5.0,6,29,30.0,30,21450,181892
5,primary,B1,419,0,287,17,17.0,22,93,98.0,98,21450,181892
5,primary,B2,419,0,270,88,89.0,97,156,164.0,165,21450,181892
15,confirmation,B0,25,0,0,5,5.0,5,30,30.0,30,182282,191642
15,confirmation,B1,25,0,0,17,17.0,17,98,98.0,98,182282,191642
15,confirmation,B2,25,0,0,88,88.0,88,165,165.0,165,182282,191642
15,primary,B0,419,0,223,5,5.0,6,29,30.0,30,21450,181892
15,primary,B1,419,0,324,17,17.0,22,93,98.0,98,21450,181892
15,primary,B2,419,0,302,88,89.0,97,156,164.0,165,21450,181892
30,confirmation,B0,25,0,0,5,5.0,5,30,30.0,30,182282,191642
30,confirmation,B1,25,0,0,17,17.0,17,98,98.0,98,182282,191642
30,confirmation,B2,25,0,0,88,88.0,88,165,165.0,165,182282,191642
30,primary,B0,419,0,219,5,5.0,6,29,30.0,30,21450,181892
30,primary,B1,419,0,315,17,17.0,22,93,98.0,98,21450,181892
30,primary,B2,419,0,287,88,89.0,97,156,164.0,165,21450,181892
