horizon_minutes,window,information_set,lambda,N_sessions
5,confirmation,B0,0.0001,2
5,confirmation,B0,100.0,19
5,confirmation,B0,10000.0,4
5,confirmation,B1,100.0,21
5,confirmation,B1,10000.0,4
5,confirmation,B2,100.0,21
5,confirmation,B2,10000.0,4
5,primary,B0,0.0001,125
5,primary,B0,0.01,1
5,primary,B0,1.0,47
5,primary,B0,100.0,218
5,primary,B0,10000.0,28
5,primary,B1,0.0001,116
5,primary,B1,0.01,3
5,primary,B1,1.0,34
5,primary,B1,100.0,238
5,primary,B1,10000.0,28
5,primary,B2,0.0001,54
5,primary,B2,0.01,37
5,primary,B2,1.0,82
5,primary,B2,100.0,201
5,primary,B2,10000.0,45
15,confirmation,B0,0.0001,2
15,confirmation,B0,100.0,19
15,confirmation,B0,10000.0,4
15,confirmation,B1,100.0,21
15,confirmation,B1,10000.0,4
15,confirmation,B2,0.0001,7
15,confirmation,B2,1.0,3
15,confirmation,B2,100.0,11
15,confirmation,B2,10000.0,4
15,primary,B0,0.0001,102
15,primary,B0,0.01,1
15,primary,B0,1.0,41
15,primary,B0,100.0,228
15,primary,B0,10000.0,47
15,primary,B1,0.0001,114
15,primary,B1,0.01,2
15,primary,B1,1.0,39
15,primary,B1,100.0,210
15,primary,B1,10000.0,54
15,primary,B2,0.0001,111
15,primary,B2,0.01,17
15,primary,B2,1.0,58
15,primary,B2,100.0,172
15,primary,B2,10000.0,61
30,confirmation,B0,0.0001,10
30,confirmation,B0,1.0,5
30,confirmation,B0,100.0,10
30,confirmation,B1,0.0001,5
30,confirmation,B1,1.0,7
30,confirmation,B1,100.0,13
30,confirmation,B2,0.0001,4
30,confirmation,B2,1.0,12
30,confirmation,B2,100.0,9
30,primary,B0,0.0001,123
30,primary,B0,0.01,2
30,primary,B0,1.0,51
30,primary,B0,100.0,184
30,primary,B0,10000.0,59
30,primary,B1,0.0001,122
30,primary,B1,0.01,2
30,primary,B1,1.0,44
30,primary,B1,100.0,192
30,primary,B1,10000.0,59
30,primary,B2,0.0001,100
30,primary,B2,0.01,39
30,primary,B2,1.0,39
30,primary,B2,100.0,178
30,primary,B2,10000.0,63
