version,target,horizon_minutes,window,family,family_group,contrast,N_sessions,N_origins,N_asset_sessions,delta_qlike,ci_low_qlike,ci_high_qlike,baseline_qlike_observed,percent_reduction,ci_low_rescaled_percent,ci_high_rescaled_percent,interval_definition,p_raw,p_raw_sidedness,p_for_decision,hypothesis_status,p_bilateral,p_holm_bilateral,source_summary,source_summary_sha256,source_session_losses,source_session_losses_sha256
v1,RV30,30,primary,log_ols_harq,linear,B1_over_B0,418,92261,2504,0.0004237455094975266,-0.001680244728113881,0.002375051383694389,0.1459662294355256,0.2903037991295776,-1.1511188133115804,1.6271238853528567,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.6746,two_sided,,,0.6746,1.0,artifacts/rp4_b2/summary.json,d311d2773ae195968a59cea7d4e0c68dcf35d5d80e005c6cc0f1e028496d2eb2,artifacts/rp4_b2/session_losses.csv,345889fb42e9681ba3e530edcd712f41c22cd9976a4f7c3fbcb1ef52030fc4bc
v1,RV30,30,primary,log_ols_harq,linear,B2_over_B1,418,92261,2504,-243.70844485981243,-731.1286587558095,0.002354666258142407,0.14554248392602806,-167448.32043932768,-502347.2453083908,1.6178549346039508,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.6095,two_sided,,,0.6095,1.0,artifacts/rp4_b2/summary.json,d311d2773ae195968a59cea7d4e0c68dcf35d5d80e005c6cc0f1e028496d2eb2,artifacts/rp4_b2/session_losses.csv,345889fb42e9681ba3e530edcd712f41c22cd9976a4f7c3fbcb1ef52030fc4bc
v1,RV30,30,primary,lightgbm_qlike,tree,B1_over_B0,418,92261,2504,0.0018152182926657477,-0.0003787913993149482,0.004161397225110677,0.15081603010211217,1.2035977153335278,-0.25116123203778934,2.759253921677386,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1181,two_sided,,,0.1181,0.4724,artifacts/rp4_b2/summary.json,d311d2773ae195968a59cea7d4e0c68dcf35d5d80e005c6cc0f1e028496d2eb2,artifacts/rp4_b2/session_losses.csv,345889fb42e9681ba3e530edcd712f41c22cd9976a4f7c3fbcb1ef52030fc4bc
v1,RV30,30,primary,lightgbm_qlike,tree,B2_over_B1,418,92261,2504,-0.00010841273649101934,-0.0010017584547432365,0.0006900883257045936,0.1490008118094464,-0.07275982940929597,-0.6723174475212669,0.46314400393142224,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.8002,two_sided,,,0.8002,1.0,artifacts/rp4_b2/summary.json,d311d2773ae195968a59cea7d4e0c68dcf35d5d80e005c6cc0f1e028496d2eb2,artifacts/rp4_b2/session_losses.csv,345889fb42e9681ba3e530edcd712f41c22cd9976a4f7c3fbcb1ef52030fc4bc
v1,RV30,30,confirmation,log_ols_harq,linear,B1_over_B0,25,5360,150,0.005723610682205567,-0.002306023372054587,0.01799599279407734,0.21479116360969847,2.6647328437617013,-1.0736118438488982,8.378367383296194,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.3585,two_sided,,,0.3585,0.647,artifacts/rp4_b3/summary.json,76816cf06a6483c009f9f148728c02ee39d065e7926fbf44dd80fa27dbf29ad7,artifacts/rp4_b3/session_losses.csv,468a00fdaa6666b4cb5b2585bae8b7601a9326e8b4d95cd176febd58cf698ae2
v1,RV30,30,confirmation,log_ols_harq,linear,B2_over_B1,25,5360,150,0.008746794406275018,0.0005584611481203441,0.023447608554065243,0.2090675529274929,4.1837168340074795,0.267119952522726,11.215326446278898,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0586,two_sided,,,0.0586,0.2312,artifacts/rp4_b3/summary.json,76816cf06a6483c009f9f148728c02ee39d065e7926fbf44dd80fa27dbf29ad7,artifacts/rp4_b3/session_losses.csv,468a00fdaa6666b4cb5b2585bae8b7601a9326e8b4d95cd176febd58cf698ae2
v1,RV30,30,confirmation,lightgbm_qlike,tree,B1_over_B0,25,5360,150,0.009180288767931831,0.001639016832474746,0.021021638025733435,0.2053177213779389,4.471259814457613,0.7982831786145352,10.238589189794203,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0578,two_sided,,,0.0578,0.2312,artifacts/rp4_b3/summary.json,76816cf06a6483c009f9f148728c02ee39d065e7926fbf44dd80fa27dbf29ad7,artifacts/rp4_b3/session_losses.csv,468a00fdaa6666b4cb5b2585bae8b7601a9326e8b4d95cd176febd58cf698ae2
v1,RV30,30,confirmation,lightgbm_qlike,tree,B2_over_B1,25,5360,150,-0.0035553314138813295,-0.010764727785500243,0.00047970784036660454,0.19613743261000707,-1.812673576160563,-5.488359688537607,0.24457740370265738,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.3235,two_sided,,,0.3235,0.647,artifacts/rp4_b3/summary.json,76816cf06a6483c009f9f148728c02ee39d065e7926fbf44dd80fa27dbf29ad7,artifacts/rp4_b3/session_losses.csv,468a00fdaa6666b4cb5b2585bae8b7601a9326e8b4d95cd176febd58cf698ae2
v2,RV30,30,primary,log_ridge_harq,linear,B1_over_B0,419,160832,2514,0.002527830536511916,0.00037254832356218225,0.005758785024503867,0.14737098089047704,1.7152837833050358,0.25279625697752,3.9076791032446696,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0614,two_sided,,,0.0614,0.1842,artifacts/rp4_v2_b2/summary.json,4d2ac494feecf154e47c0191db8e0fba8dd1e62e6f3794ab2525acebbba36693,artifacts/rp4_v2_b2/session_losses.csv,c01bee110fe1a46d2e67b1261b1c865d3634c5ca8deda8af8ef5b69a70cc50c4
v2,RV30,30,primary,log_ridge_harq,linear,B2_over_B1,419,160832,2514,-0.012620920432315582,-0.03594665417185493,0.0009273747867158401,0.1448431503539651,-8.713508648129235,-24.81764176214694,0.6402614030760434,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1876,two_sided,,,0.1876,0.3752,artifacts/rp4_v2_b2/summary.json,4d2ac494feecf154e47c0191db8e0fba8dd1e62e6f3794ab2525acebbba36693,artifacts/rp4_v2_b2/session_losses.csv,c01bee110fe1a46d2e67b1261b1c865d3634c5ca8deda8af8ef5b69a70cc50c4
