version,horizon_minutes,window,family_group,family,contrast,N_sessions,N_origins,point,ci_low,ci_high,point_clipped_low,point_clipped_high,ci_low_clipped,ci_high_clipped,visible_point,visible_ci_low,visible_ci_high
v1,30,primary,linear,log_ols_harq,B1_over_B0,418,92261,0.2903037991295776,-1.1511188133115804,1.6271238853528567,False,False,False,False,0.2903037991295776,-1.1511188133115804,1.6271238853528567
v1,30,primary,tree,lightgbm_qlike,B1_over_B0,418,92261,1.2035977153335278,-0.25116123203778934,2.759253921677386,False,False,False,False,1.2035977153335278,-0.25116123203778934,2.759253921677386
v2,30,primary,linear,log_ridge_harq,B1_over_B0,419,160832,1.7152837833050358,0.25279625697752,3.9076791032446696,False,False,False,True,1.7152837833050358,0.25279625697752,3
v2,30,primary,tree,lightgbm_qlike,B1_over_B0,419,160832,2.091179756112532,0.6797223451387926,3.6740747871768753,False,False,False,True,2.091179756112532,0.6797223451387926,3
v3,30,primary,linear,log_ridge_harq,B1_over_B0,419,160832,1.7289744557685691,0.37812612665088396,3.7613483141380284,False,False,False,True,1.7289744557685691,0.37812612665088396,3
v3,30,primary,tree,lightgbm_qlike,B1_over_B0,419,160832,2.091179756112532,0.6797223451387926,3.6740747871768753,False,False,False,True,2.091179756112532,0.6797223451387926,3
v4,15,primary,linear,log_ridge_harq,B1_over_B0,419,160832,0.8800546830738928,0.13774679029687284,1.8803916940908652,False,False,False,False,0.8800546830738928,0.13774679029687284,1.8803916940908652
v4,15,primary,tree,lightgbm_qlike,B1_over_B0,419,160832,1.169968713660752,0.325426953615407,2.185173379418449,False,False,False,False,1.169968713660752,0.325426953615407,2.185173379418449
v4,5,primary,linear,log_ridge_harq,B1_over_B0,419,160832,0.3772630964049197,0.1336782605825552,0.6808773193339898,False,False,False,False,0.3772630964049197,0.1336782605825552,0.6808773193339898
v4,5,primary,tree,lightgbm_qlike,B1_over_B0,419,160832,0.535775650710059,0.04995076832561724,1.2378548991438485,False,False,False,False,0.535775650710059,0.04995076832561724,1.2378548991438485
v1,30,primary,linear,log_ols_harq,B2_over_B1,418,92261,-167448.32043932768,-502347.2453083908,1.6178549346039508,True,False,True,False,-3,-3,1.6178549346039508
v1,30,primary,tree,lightgbm_qlike,B2_over_B1,418,92261,-0.07275982940929597,-0.6723174475212669,0.46314400393142224,False,False,False,False,-0.07275982940929597,-0.6723174475212669,0.46314400393142224
v2,30,primary,linear,log_ridge_harq,B2_over_B1,419,160832,-8.713508648129235,-24.81764176214694,0.6402614030760434,True,False,True,False,-3,-3,0.6402614030760434
v2,30,primary,tree,lightgbm_qlike,B2_over_B1,419,160832,-0.06266543036498776,-1.014735955917632,0.6524039401410061,False,False,False,False,-0.06266543036498776,-1.014735955917632,0.6524039401410061
v3,30,primary,linear,log_ridge_harq,B2_over_B1,419,160832,0.5542902183417087,-0.10599258106703978,1.2251627419636066,False,False,False,False,0.5542902183417087,-0.10599258106703978,1.2251627419636066
v3,30,primary,tree,lightgbm_qlike,B2_over_B1,419,160832,-0.1591352659887351,-1.1269911478916632,0.5690822547693644,False,False,False,False,-0.1591352659887351,-1.1269911478916632,0.5690822547693644
v4,15,primary,linear,log_ridge_harq,B2_over_B1,419,160832,0.6227940963997779,0.18404169303015444,1.0613702998964234,False,False,False,False,0.6227940963997779,0.18404169303015444,1.0613702998964234
v4,15,primary,tree,lightgbm_qlike,B2_over_B1,419,160832,-0.1147393674343757,-1.1016355098432535,0.5950675526487116,False,False,False,False,-0.1147393674343757,-1.1016355098432535,0.5950675526487116
v4,5,primary,linear,log_ridge_harq,B2_over_B1,419,160832,0.25631857791069307,0.020438082739224032,0.4884143048476597,False,False,False,False,0.25631857791069307,0.020438082739224032,0.4884143048476597
v4,5,primary,tree,lightgbm_qlike,B2_over_B1,419,160832,0.1604861346749236,-0.2633425977976829,0.5567893076861397,False,False,False,False,0.1604861346749236,-0.2633425977976829,0.5567893076861397
