asset,session_date,weekday,status,raw_rows,projected_exact_duplicates,projected_conflicting_ids,unorderable_rows,later_projected_versions_ignored,valid_regular_rows,available_by_close_minus_120s_rows,valid_distinct_expiries_full_regular_session,distinct_expiries_by_close_minus_120s,expiry_dates,expiry_count_monday,expiry_count_tuesday,expiry_count_wednesday,expiry_count_thursday,expiry_count_friday,expiry_count_saturday,expiry_count_sunday,zero_dte_trade_rows,zero_dte_distinct_contracts_day_union,first_mon_wed_available_ny
AAPL,2026-01-12,Monday,VERIFIED_LOCAL,120467,0,0,0,0,118830,118026,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,0,0,
AMZN,2026-01-12,Monday,VERIFIED_LOCAL,81787,0,0,0,0,80299,79528,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
META,2026-01-12,Monday,VERIFIED_LOCAL,79461,0,0,0,0,77790,76550,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16,0,0,0,2,20,0,0,0,0,
MSFT,2026-01-12,Monday,VERIFIED_LOCAL,45350,0,0,0,0,44291,43716,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
NVDA,2026-01-12,Monday,VERIFIED_LOCAL,208210,0,0,0,0,205446,203256,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,0,0,
TSLA,2026-01-12,Monday,VERIFIED_LOCAL,352114,0,0,0,0,349043,346580,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
AAPL,2026-01-13,Tuesday,VERIFIED_LOCAL,97623,0,0,0,0,96135,94852,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,0,0,
AMZN,2026-01-13,Tuesday,VERIFIED_LOCAL,89749,0,0,0,0,88285,87693,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
META,2026-01-13,Tuesday,VERIFIED_LOCAL,146385,0,0,0,0,143056,141985,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16,0,0,0,2,20,0,0,0,0,
MSFT,2026-01-13,Tuesday,VERIFIED_LOCAL,99490,0,0,0,0,96603,95892,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
