session_date,weekday,AAPL,AMZN,META,MSFT,NVDA,TSLA,monday_expiry_count_min,monday_expiry_count_max,wednesday_expiry_count_min,wednesday_expiry_count_max
2026-01-12,Monday,22,22,22,22,22,22,0,0,0,0
2026-01-13,Tuesday,22,22,22,22,22,22,0,0,0,0
2026-01-14,Wednesday,22,22,22,22,22,22,0,0,0,0
2026-01-15,Thursday,22,22,22,22,22,22,0,0,0,0
2026-01-16,Friday,22,22,22,22,22,22,0,0,0,0
2026-01-20,Tuesday,21,22,21,21,21,21,0,0,0,0
2026-01-21,Wednesday,21,22,22,21,21,21,0,0,0,0
2026-01-22,Thursday,22,23,23,22,22,22,0,0,0,0
2026-01-23,Friday,22,23,23,22,22,22,0,0,0,0
2026-01-26,Monday,24,25,25,24,24,24,2,2,1,1
2026-01-27,Tuesday,25,26,26,25,25,25,2,2,2,2
2026-01-28,Wednesday,25,26,26,25,25,25,2,2,2,2
2026-01-29,Thursday,26,27,27,26,26,26,2,2,2,2
2026-01-30,Friday,26,27,27,27,26,27,2,2,2,2
2026-02-02,Monday,25,26,26,26,25,26,2,2,2,2
2026-02-03,Tuesday,25,26,26,26,25,26,1,1,3,3
2026-02-04,Wednesday,25,26,26,26,26,26,1,1,3,3
2026-02-05,Thursday,25,26,26,26,26,26,1,1,2,2
2026-02-06,Friday,25,26,26,26,26,26,1,1,2,2
2026-02-09,Monday,25,26,26,26,26,26,2,2,2,2
2026-02-10,Tuesday,25,26,26,26,25,26,1,1,2,3
2026-02-11,Wednesday,25,26,26,26,25,26,1,1,2,3
2026-02-12,Thursday,25,26,26,26,25,26,1,1,1,2
2026-02-13,Friday,25,26,26,26,25,26,1,1,1,2
