session_date,log_ridge_harq__AAPL,log_ridge_harq__AMZN,log_ridge_harq__META,log_ridge_harq__MSFT,log_ridge_harq__NVDA,log_ridge_harq__TSLA,lightgbm_qlike__AAPL,lightgbm_qlike__AMZN,lightgbm_qlike__META,lightgbm_qlike__MSFT,lightgbm_qlike__NVDA,lightgbm_qlike__TSLA
2024-10-28,-0.000581,0.008097,0.018211,0.016815,0.003755,0.003140,-0.017155,-0.028427,-0.029943,0.007455,0.009157,0.006960
2024-10-29,0.009303,0.007294,0.019146,0.015326,0.003007,0.006931,-0.032482,-0.026348,-0.033824,-0.002226,0.006649,0.006202
2024-10-30,0.010901,0.013705,0.031263,-0.006176,0.006491,0.016907,-0.041232,-0.031131,-0.037205,0.022394,0.013143,-0.011937
2024-10-31,0.014220,0.022118,0.033653,-0.006921,0.012336,0.021999,-0.046725,-0.016133,-0.037299,0.035449,0.017713,-0.010570
2024-11-01,0.013091,0.015188,0.027462,-0.011184,0.012876,0.017943,-0.051303,0.006828,-0.046369,0.035151,0.019976,0.007534
2024-11-04,0.017584,0.022611,0.035703,-0.011223,0.011053,0.016045,-0.062078,0.020825,-0.041599,0.038066,0.022482,0.000687
2024-11-05,0.019542,0.024385,0.034342,-0.007810,0.013181,0.015925,-0.043693,0.005318,-0.032486,0.038912,0.046989,-0.009870
2024-11-06,0.016645,0.015134,0.035937,-0.008448,0.018191,0.020950,-0.032963,0.011627,-0.035133,0.050181,0.045235,-0.014433
2024-11-07,0.007719,0.018551,0.033938,-0.004882,0.025008,0.018919,-0.043407,0.017599,-0.035867,0.056112,0.038402,-0.017149
2024-11-08,0.016258,0.020119,0.030714,-0.006494,0.019395,0.081039,-0.044115,0.005670,-0.026484,0.068298,0.034846,-0.008559
2024-11-11,0.018345,0.019407,0.036116,0.003163,0.019014,0.063386,-0.056041,0.006497,-0.029479,0.067680,0.041288,-0.058546
2024-11-12,0.013529,0.034447,0.039532,-0.002658,0.027222,0.068808,-0.061821,0.022297,-0.014506,0.085349,0.036157,-0.082733
2024-11-13,0.019027,0.039991,0.041078,0.000513,0.019578,0.070853,-0.062818,0.032796,-0.017289,0.079172,0.031867,-0.107896
2024-11-14,0.060027,0.032946,0.044007,0.383102,0.011419,0.050600,-0.031922,0.032989,-0.025225,0.155574,0.028935,-0.116760
2024-11-15,0.072365,-0.009233,0.042811,0.380593,0.024321,0.045683,-0.033519,0.019041,-0.025315,0.155693,0.040490,-0.101140
2024-11-18,0.071418,-0.010065,0.041256,0.376984,0.023574,0.042343,-0.032509,0.015350,-0.027470,0.156716,0.046216,-0.090892
2024-11-19,0.071210,-0.020766,0.042596,0.381327,0.015724,0.049866,-0.031552,0.016924,-0.025327,0.147307,0.051293,-0.088929
2024-11-20,0.072088,-0.014565,0.032241,0.381491,0.017201,0.055880,-0.028113,0.025100,-0.043729,0.133700,0.058919,-0.072589
2024-11-21,0.067925,-0.033401,0.042887,0.381074,0.020460,0.057333,-0.018165,0.018668,-0.038059,0.146490,0.073382,-0.072622
2024-11-22,0.054867,-0.031515,0.046537,0.382892,-0.006240,0.051743,-0.023074,0.022805,-0.040661,0.145615,0.061071,-0.066321
2024-11-25,0.056269,-0.026584,0.039978,0.387837,0.002945,0.031440,-0.030685,0.028585,-0.036289,0.150272,0.058955,-0.057428
2024-11-26,0.050420,-0.018807,0.029927,0.386608,0.003385,0.043290,-0.033145,0.032625,-0.037689,0.136837,0.056555,-0.060919
2024-11-27,0.050716,-0.020724,0.025297,0.390087,-0.001496,0.056755,-0.032877,0.030730,-0.037125,0.134379,0.050373,-0.049688
2024-11-29,0.049031,-0.028248,0.017258,0.387085,0.007820,0.065570,-0.019011,0.032684,-0.033723,0.144939,0.039888,-0.052093
2024-12-02,0.046152,-0.020259,0.012085,0.369613,0.013194,0.060283,-0.014640,0.039608,-0.035093,0.149866,0.044804,-0.055804
2024-12-03,0.039467,-0.019780,0.017430,0.301079,0.014946,0.061907,-0.035449,0.041832,-0.029770,0.164775,0.044494,-0.056966
2024-12-04,0.035153,-0.012646,0.019513,0.293520,0.006965,0.059226,-0.066676,0.032282,-0.026884,0.187610,0.033681,-0.072762
2024-12-05,0.009870,-0.011110,0.022623,0.308401,-0.012781,0.070362,-0.023520,0.034904,-0.020949,0.196878,0.036497,-0.087697
2024-12-06,0.019803,-0.007642,0.038781,0.304651,-0.008904,0.082992,-0.013716,0.040782,-0.025885,0.209265,0.032836,-0.074988
2024-12-09,0.049127,-0.000524,0.041704,0.310345,-0.009099,0.081763,0.107371,0.026744,-0.026413,0.203415,0.031434,-0.071058
2024-12-10,0.048537,0.011679,0.047096,0.299419,-0.002981,0.082416,0.155481,0.033385,-0.012326,0.243314,0.047267,-0.047109
2024-12-11,0.035918,0.035211,0.058774,0.317455,-0.000756,0.123911,0.148747,0.037495,-0.005728,0.292768,0.045384,-0.066160
2024-12-12,0.024282,0.016165,0.056801,0.317991,0.001951,0.130591,0.192613,0.025774,-0.006622,0.308289,0.048039,-0.063565
2024-12-13,0.021370,0.015032,0.046085,0.323987,0.019358,0.136016,0.201382,0.015976,-0.019094,0.304595,0.080441,-0.028164
2024-12-16,0.018147,0.015069,0.042853,0.324416,0.011059,0.132799,0.178760,0.018680,-0.018227,0.311711,0.083054,-0.020719
2024-12-17,0.014021,0.021926,0.049019,0.325438,0.007939,0.128307,0.183472,0.020822,-0.014618,0.304524,0.088776,-0.010988
2024-12-18,0.037033,0.010071,0.049404,0.306720,0.021425,0.198158,0.222776,0.011096,-0.038551,0.314142,0.080977,0.139165
2024-12-19,0.045106,0.013460,0.043444,0.303898,0.024616,0.212446,0.224751,0.000367,-0.042618,0.310379,0.070015,0.147161
2024-12-20,0.039092,0.016602,0.042298,0.303196,0.026042,0.223266,0.230007,-0.001457,-0.045415,0.312216,0.065519,0.165652
2024-12-23,0.030482,0.017205,0.047604,0.307740,0.034995,0.224442,0.230859,-0.002054,-0.027813,0.308430,0.080404,0.162752
2024-12-24,0.014160,0.020739,0.046514,0.307185,0.049209,0.227253,0.218228,0.030684,-0.032540,0.308290,0.116303,0.156974
2024-12-26,0.002110,0.018917,0.044424,0.306956,0.046564,0.215648,0.199554,0.037258,-0.001993,0.312948,0.123841,0.156327
2024-12-27,0.001753,0.022622,0.038720,0.293077,0.049892,0.213529,0.211015,0.035844,-0.005423,0.308265,0.120026,0.150147
2024-12-30,0.001935,0.038588,0.039360,0.291583,0.057693,0.213453,0.213899,0.041164,0.006832,0.312061,0.118904,0.156466
