label,horizon,reference,N_origins,N_excluded,N_sessions,complete_419_session_mask,family,contrast,role,estimate,statistic,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,removed_each_tail,ci_low,ci_high,p_raw,alternative,interval,null,null_calibration,status,null_exceedances
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,seasonal_persistence,159054,1778,417,False,log_ridge_harq,B1_over_B0,OBSERVED_ON_REFERENCE_INTERSECTION,0.0014630637185700627,mean,5,9999,20260907,0,0.00019986682246249754,0.0030890277906120826,0.0367,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,366
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,seasonal_persistence,159054,1778,417,False,log_ridge_harq,B2_over_B1,OBSERVED_ON_REFERENCE_INTERSECTION,0.001120387011349575,mean,5,9999,20260907,0,0.00031485380608785855,0.0019314014618906001,0.0032,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,31
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,seasonal_persistence,159054,1778,417,False,lightgbm_qlike,B1_over_B0,OBSERVED_ON_REFERENCE_INTERSECTION,0.0018813078668077697,mean,5,9999,20260907,0,0.00048461892926487975,0.00343796732217905,0.0102,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,101
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,seasonal_persistence,159054,1778,417,False,lightgbm_qlike,B2_over_B1,OBSERVED_ON_REFERENCE_INTERSECTION,0.0005783611000713865,mean,5,9999,20260907,0,-0.00031355077930456435,0.0014687057815521137,0.103,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,1029
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,HAR_dwm,160832,0,419,True,log_ridge_harq,B1_over_B0,OBSERVED_ON_REFERENCE_INTERSECTION,0.0016163117029221244,mean,5,9999,20260907,0,0.0002529862671932415,0.003453534376546728,0.039,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,389
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,HAR_dwm,160832,0,419,True,log_ridge_harq,B2_over_B1,OBSERVED_ON_REFERENCE_INTERSECTION,0.0011337596590923558,mean,5,9999,20260907,0,0.00033503697025205506,0.0019321615865300122,0.0032,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,31
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,HAR_dwm,160832,0,419,True,lightgbm_qlike,B1_over_B0,OBSERVED_ON_REFERENCE_INTERSECTION,0.0021966192830256415,mean,5,9999,20260907,0,0.0006109899462962658,0.004102668666212466,0.0135,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,134
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,HAR_dwm,160832,0,419,True,lightgbm_qlike,B2_over_B1,OBSERVED_ON_REFERENCE_INTERSECTION,-0.00021290307176726115,mean,5,9999,20260907,0,-0.002044124778251595,0.0011041694991075965,0.628,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,6279
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,seasonal_persistence,158959,1873,417,False,log_ridge_harq,B1_over_B0,OBSERVED_ON_REFERENCE_INTERSECTION,0.002421323480146,mean,5,9999,20260907,0,0.00046206671942686516,0.005241244098148619,0.0425,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,424
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,seasonal_persistence,158959,1873,417,False,log_ridge_harq,B2_over_B1,OBSERVED_ON_REFERENCE_INTERSECTION,0.0008066287471503206,mean,5,9999,20260907,0,-0.00015708230092730425,0.0017916138238639589,0.0535,greater,two-sided percentile 95%; not inversion of centered-null p,delta <= 0,resampled statistic minus observed statistic; +1 correction,COMPUTED,534
