label,horizon,window,family,set,metric,N_origins,N_sessions,role,estimate,ci_low,ci_high
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,log_ridge_harq,B0,MAE,160832,419,DESCRIPTIVE_NO_TEST,4.6811776334113554e-06,3.502888198800349e-06,6.589796905271292e-06
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,log_ridge_harq,B0,RMSE,160832,419,DESCRIPTIVE_NO_TEST,3.364183218367351e-05,8.54998847812642e-06,5.670597244476207e-05
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,log_ridge_harq,B1,MAE,160832,419,DESCRIPTIVE_NO_TEST,4.719574865078839e-06,3.5023223114094274e-06,6.694717835651874e-06
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,log_ridge_harq,B1,RMSE,160832,419,DESCRIPTIVE_NO_TEST,3.355164594022209e-05,8.557032224364508e-06,5.655307207457007e-05
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,log_ridge_harq,B2,MAE,160832,419,DESCRIPTIVE_NO_TEST,4.69114355279435e-06,3.4978450376976134e-06,6.629282076368234e-06
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,log_ridge_harq,B2,RMSE,160832,419,DESCRIPTIVE_NO_TEST,3.3519018300392494e-05,8.517199982968943e-06,5.651667590736403e-05
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,lightgbm_qlike,B0,MAE,160832,419,DESCRIPTIVE_NO_TEST,4.737403969271173e-06,3.472671526039688e-06,6.816999542821223e-06
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,lightgbm_qlike,B0,RMSE,160832,419,DESCRIPTIVE_NO_TEST,3.4772374107526816e-05,8.838215741326914e-06,5.8604808121446256e-05
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,lightgbm_qlike,B1,MAE,160832,419,DESCRIPTIVE_NO_TEST,4.7704734653218176e-06,3.466590997982479e-06,6.92167537315798e-06
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,lightgbm_qlike,B1,RMSE,160832,419,DESCRIPTIVE_NO_TEST,3.4857009307007586e-05,8.827946256689572e-06,5.8740079158614834e-05
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,lightgbm_qlike,B2,MAE,160832,419,DESCRIPTIVE_NO_TEST,4.780319574627968e-06,3.46215794998446e-06,6.954714018716878e-06
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,primary,lightgbm_qlike,B2,RMSE,160832,419,DESCRIPTIVE_NO_TEST,3.4876289606585054e-05,8.730979574886729e-06,5.883791488965096e-05
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",15,confirmation,log_ridge_harq,B0,MAE,9750,25,DESCRIPTIVE_NO_TEST,2.797411760419591e-06,2.381148243129973e-06,3.213790463303891e-06
