asset,tenor,moneyness,column,origins,populated,coverage
AAPL,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,32580,17656,0.541927562922038
AAPL,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,32580,18660,0.572744014732965
AAPL,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,32580,14070,0.43186003683241253
AAPL,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,32580,2245,0.0689073050951504
AAPL,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,32580,11088,0.34033149171270716
AAPL,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,32580,28139,0.8636893799877225
AAPL,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,32580,28195,0.8654082259054635
AAPL,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,32580,28058,0.8612031921424187
AAPL,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,32580,12476,0.3829343155310006
AAPL,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,32580,23001,0.7059852670349908
AAPL,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,32580,32449,0.9959791282995702
AAPL,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,32580,32506,0.9977286678944137
AAPL,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,32580,32489,0.9972068753836709
AAPL,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,32580,32204,0.9884591774094537
AAPL,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,32580,32373,0.9936464088397791
AAPL,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,32580,32506,0.9977286678944137
AAPL,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,32580,32513,0.9979435236341314
AAPL,dte_8_30,m_103_110,rp4_iv_dte_8_30_m_103_110,32580,32511,0.9978821362799264
AAPL,dte_8_30,m_gt110,rp4_iv_dte_8_30_m_gt110,32580,30240,0.9281767955801105
AAPL,dte_8_30,m_lt090,rp4_iv_dte_8_30_m_lt090,32580,31945,0.9805095150399018
AAPL,dte_gt90,m_090_097,rp4_iv_dte_gt90_m_090_097,32580,32167,0.9873235113566605
AAPL,dte_gt90,m_097_103,rp4_iv_dte_gt90_m_097_103,32580,32446,0.9958870472682627
AAPL,dte_gt90,m_103_110,rp4_iv_dte_gt90_m_103_110,32580,32281,0.9908225905463475
AAPL,dte_gt90,m_gt110,rp4_iv_dte_gt90_m_gt110,32580,32476,0.9968078575813383
AAPL,dte_gt90,m_lt090,rp4_iv_dte_gt90_m_lt090,32580,32472,0.9966850828729282
AMZN,dte_0_1,m_090_097,rp4_iv_dte_0_1_m_090_097,32580,18012,0.552854511970534
AMZN,dte_0_1,m_097_103,rp4_iv_dte_0_1_m_097_103,32580,18700,0.5739717618170657
AMZN,dte_0_1,m_103_110,rp4_iv_dte_0_1_m_103_110,32580,15897,0.48793738489871086
AMZN,dte_0_1,m_gt110,rp4_iv_dte_0_1_m_gt110,32580,3930,0.12062615101289134
AMZN,dte_0_1,m_lt090,rp4_iv_dte_0_1_m_lt090,32580,11765,0.3611111111111111
AMZN,dte_2_7,m_090_097,rp4_iv_dte_2_7_m_090_097,32580,28144,0.8638428483732351
AMZN,dte_2_7,m_097_103,rp4_iv_dte_2_7_m_097_103,32580,28195,0.8654082259054635
AMZN,dte_2_7,m_103_110,rp4_iv_dte_2_7_m_103_110,32580,28183,0.8650399017802333
AMZN,dte_2_7,m_gt110,rp4_iv_dte_2_7_m_gt110,32580,18668,0.5729895641497852
AMZN,dte_2_7,m_lt090,rp4_iv_dte_2_7_m_lt090,32580,24175,0.7420196439533456
AMZN,dte_31_90,m_090_097,rp4_iv_dte_31_90_m_090_097,32580,32414,0.9949048496009822
AMZN,dte_31_90,m_097_103,rp4_iv_dte_31_90_m_097_103,32580,32495,0.9973910374462861
AMZN,dte_31_90,m_103_110,rp4_iv_dte_31_90_m_103_110,32580,32493,0.9973296500920811
AMZN,dte_31_90,m_gt110,rp4_iv_dte_31_90_m_gt110,32580,32403,0.9945672191528545
AMZN,dte_31_90,m_lt090,rp4_iv_dte_31_90_m_lt090,32580,32336,0.9925107427869859
AMZN,dte_8_30,m_090_097,rp4_iv_dte_8_30_m_090_097,32580,32503,0.9976365868631062
AMZN,dte_8_30,m_097_103,rp4_iv_dte_8_30_m_097_103,32580,32512,0.9979128299570289
