window,session,model,selected_lambda,selected_rounds,selected_leaves,validation_qlike,train_rows,prediction_rows,lower_bound,upper_bound,linear_lower_touches,linear_upper_touches,lgb_log_low_touches,lgb_log_high_touches,lgb_variance_floor_touches,columns_kept,columns_removed
primary,2024-10-28,lightgbm_qlike__B0,,62,31,0.14028299589392862,21450,,,,,,0,0,0,,
primary,2024-10-28,lightgbm_qlike__B1,,87,31,0.14202695705895427,21450,,,,,,0,0,0,,
primary,2024-10-28,lightgbm_qlike__B2,,74,63,0.14338550766441344,21450,,,,,,0,0,0,,
primary,2024-10-28,log_ridge_harq__B0,1.0,,,0.13465771353735143,21450,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,29,6
primary,2024-10-28,log_ridge_harq__B1,1.0,,,0.14546653276677907,21450,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,93,22
primary,2024-10-28,log_ridge_harq__B2,100.0,,,0.14480484054470738,21450,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,151,90
primary,2024-10-29,lightgbm_qlike__B0,,59,31,0.13943897843550798,21840,,,,,,0,0,0,,
primary,2024-10-29,lightgbm_qlike__B1,,107,31,0.14933325341173959,21840,,,,,,0,0,0,,
primary,2024-10-29,lightgbm_qlike__B2,,111,31,0.14607466808925923,21840,,,,,,0,0,0,,
primary,2024-10-29,log_ridge_harq__B0,1.0,,,0.13208998968025315,21840,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,29,6
primary,2024-10-29,log_ridge_harq__B1,1.0,,,0.14706961299180998,21840,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,93,22
primary,2024-10-29,log_ridge_harq__B2,100.0,,,0.1465455954942997,21840,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,151,90
primary,2024-10-30,lightgbm_qlike__B0,,54,31,0.13059184390743095,22230,,,,,,0,0,0,,
primary,2024-10-30,lightgbm_qlike__B1,,93,15,0.15522604124185282,22230,,,,,,0,0,0,,
primary,2024-10-30,lightgbm_qlike__B2,,88,31,0.1515555307624722,22230,,,,,,0,0,0,,
primary,2024-10-30,log_ridge_harq__B0,0.0001,,,0.12512101272527612,22230,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,29,6
primary,2024-10-30,log_ridge_harq__B1,0.0001,,,0.14884246988371946,22230,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,93,22
primary,2024-10-30,log_ridge_harq__B2,10000.0,,,0.14662102474477226,22230,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,151,90
primary,2024-10-31,lightgbm_qlike__B0,,57,63,0.139060547168684,22620,,,,,,0,0,0,,
primary,2024-10-31,lightgbm_qlike__B1,,83,63,0.16261304550600106,22620,,,,,,0,0,0,,
primary,2024-10-31,lightgbm_qlike__B2,,84,63,0.1602222444240281,22620,,,,,,0,0,0,,
primary,2024-10-31,log_ridge_harq__B0,0.0001,,,0.13043492981676524,22620,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,29,6
primary,2024-10-31,log_ridge_harq__B1,0.0001,,,0.15276305882801736,22620,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,93,22
primary,2024-10-31,log_ridge_harq__B2,100.0,,,0.15181821987826633,22620,390,5.3432911513296554e-08,0.004419966478997281,0,0,,,,151,90
primary,2024-11-01,lightgbm_qlike__B0,,69,15,0.13455036478156565,23010,,,,,,0,0,0,,
primary,2024-11-01,lightgbm_qlike__B1,,208,31,0.1582905827424092,23010,,,,,,0,0,0,,
primary,2024-11-01,lightgbm_qlike__B2,,78,31,0.16160748759820728,23010,,,,,,0,0,0,,
