asset,session_date,N_origins,b2_5m_window_empty_count,b2_30m_window_empty_count,b2_5m_window_empty_unknown,b2_30m_window_empty_unknown
AAPL,2024-08-02,65,0,0,0,0
AMZN,2024-08-02,65,0,0,0,0
META,2024-08-02,65,0,0,0,0
MSFT,2024-08-02,65,0,0,0,0
NVDA,2024-08-02,65,0,0,0,0
TSLA,2024-08-02,65,0,0,0,0
AAPL,2024-08-05,65,0,0,0,0
AMZN,2024-08-05,65,0,0,0,0
META,2024-08-05,65,0,0,0,0
MSFT,2024-08-05,65,0,0,0,0
NVDA,2024-08-05,65,0,0,0,0
TSLA,2024-08-05,65,0,0,0,0
AAPL,2024-08-06,65,0,0,0,0
AMZN,2024-08-06,65,0,0,0,0
META,2024-08-06,65,0,0,0,0
MSFT,2024-08-06,65,0,0,0,0
NVDA,2024-08-06,65,0,0,0,0
TSLA,2024-08-06,65,0,0,0,0
AAPL,2024-08-07,65,0,0,0,0
AMZN,2024-08-07,65,0,0,0,0
META,2024-08-07,65,0,0,0,0
MSFT,2024-08-07,65,0,0,0,0
NVDA,2024-08-07,65,0,0,0,0
TSLA,2024-08-07,65,0,0,0,0
AAPL,2024-08-08,65,0,0,0,0
AMZN,2024-08-08,65,0,0,0,0
META,2024-08-08,65,0,0,0,0
MSFT,2024-08-08,65,0,0,0,0
NVDA,2024-08-08,65,0,0,0,0
TSLA,2024-08-08,65,0,0,0,0
AAPL,2024-08-09,65,0,0,0,0
AMZN,2024-08-09,65,0,0,0,0
META,2024-08-09,65,0,0,0,0
MSFT,2024-08-09,65,0,0,0,0
NVDA,2024-08-09,65,0,0,0,0
TSLA,2024-08-09,65,0,0,0,0
AAPL,2024-08-12,65,0,0,0,0
AMZN,2024-08-12,65,0,0,0,0
META,2024-08-12,65,0,0,0,0
MSFT,2024-08-12,65,0,0,0,0
NVDA,2024-08-12,65,0,0,0,0
TSLA,2024-08-12,65,0,0,0,0
AAPL,2024-08-13,65,0,0,0,0
AMZN,2024-08-13,65,0,0,0,0
META,2024-08-13,65,0,0,0,0
MSFT,2024-08-13,65,0,0,0,0
NVDA,2024-08-13,65,0,0,0,0
TSLA,2024-08-13,65,0,0,0,0
AAPL,2024-08-14,65,0,0,0,0
AMZN,2024-08-14,65,0,0,0,0
META,2024-08-14,65,0,0,0,0
MSFT,2024-08-14,65,0,0,0,0
NVDA,2024-08-14,65,0,0,0,0
TSLA,2024-08-14,65,0,0,0,0
AAPL,2024-08-15,65,0,0,0,0
AMZN,2024-08-15,65,0,0,0,0
META,2024-08-15,65,0,0,0,0
MSFT,2024-08-15,65,0,0,0,0
NVDA,2024-08-15,65,0,0,0,0
TSLA,2024-08-15,65,0,0,0,0
AAPL,2024-08-16,65,0,0,0,0
AMZN,2024-08-16,65,0,0,0,0
META,2024-08-16,65,0,0,0,0
MSFT,2024-08-16,65,0,0,0,0
NVDA,2024-08-16,65,0,0,0,0
TSLA,2024-08-16,65,0,0,0,0
AAPL,2024-08-19,65,0,0,0,0
AMZN,2024-08-19,65,0,0,0,0
META,2024-08-19,65,0,0,0,0
MSFT,2024-08-19,65,0,0,0,0
NVDA,2024-08-19,65,0,0,0,0
TSLA,2024-08-19,65,0,0,0,0
AAPL,2024-08-20,65,0,0,0,0
AMZN,2024-08-20,65,0,0,0,0
META,2024-08-20,65,0,0,0,0
MSFT,2024-08-20,65,0,0,0,0
NVDA,2024-08-20,65,0,0,0,0
TSLA,2024-08-20,65,0,0,0,0
AAPL,2024-08-21,65,0,0,0,0
AMZN,2024-08-21,65,0,0,0,0
META,2024-08-21,65,0,0,0,0
MSFT,2024-08-21,65,0,0,0,0
NVDA,2024-08-21,65,0,0,0,0
TSLA,2024-08-21,65,0,0,0,0
AAPL,2024-08-22,65,0,0,0,0
AMZN,2024-08-22,65,0,0,0,0
META,2024-08-22,65,0,0,0,0
MSFT,2024-08-22,65,0,0,0,0
NVDA,2024-08-22,65,0,0,0,0
TSLA,2024-08-22,65,0,0,0,0
AAPL,2024-08-23,65,0,0,0,0
AMZN,2024-08-23,65,0,0,0,0
META,2024-08-23,65,0,0,0,0
MSFT,2024-08-23,65,0,0,0,0
NVDA,2024-08-23,65,0,0,0,0
TSLA,2024-08-23,65,0,0,0,0
AAPL,2024-08-26,65,0,0,0,0
AMZN,2024-08-26,65,0,0,0,0
META,2024-08-26,65,0,0,0,0
MSFT,2024-08-26,65,0,0,0,0
NVDA,2024-08-26,65,0,0,0,0
TSLA,2024-08-26,65,0,0,0,0
AAPL,2024-08-27,65,0,0,0,0
AMZN,2024-08-27,65,0,0,0,0
META,2024-08-27,65,0,0,0,0
MSFT,2024-08-27,65,0,0,0,0
NVDA,2024-08-27,65,0,0,0,0
TSLA,2024-08-27,65,0,0,0,0
AAPL,2024-08-28,65,0,0,0,0
AMZN,2024-08-28,65,0,0,0,0
META,2024-08-28,65,0,0,0,0
MSFT,2024-08-28,65,0,0,0,0
NVDA,2024-08-28,65,0,0,0,0
TSLA,2024-08-28,65,0,0,0,0
AAPL,2024-08-29,65,0,0,0,0
AMZN,2024-08-29,65,0,0,0,0
META,2024-08-29,65,0,0,0,0
MSFT,2024-08-29,65,0,0,0,0
NVDA,2024-08-29,65,0,0,0,0
TSLA,2024-08-29,65,0,0,0,0
AAPL,2024-08-30,65,0,0,0,0
AMZN,2024-08-30,65,0,0,0,0
META,2024-08-30,65,0,0,0,0
MSFT,2024-08-30,65,0,0,0,0
NVDA,2024-08-30,65,0,0,0,0
