asset,column,origins,finite,coverage
AAPL,jump30,32580,32573,0.9997851442602824
AAPL,rp4_gamma_imb_near_short,32580,32515,0.9980049109883364
AAPL,rp4_gamma_imb_near_spot,32580,32515,0.9980049109883364
AAPL,rp4_gamma_imb_signed_trades,32580,32515,0.9980049109883364
AAPL,rp4_gamma_imb_total,32580,32515,0.9980049109883364
AMZN,jump30,32580,32580,1.0
AMZN,rp4_gamma_imb_near_short,32580,32515,0.9980049109883364
AMZN,rp4_gamma_imb_near_spot,32580,32515,0.9980049109883364
AMZN,rp4_gamma_imb_signed_trades,32580,32515,0.9980049109883364
AMZN,rp4_gamma_imb_total,32580,32515,0.9980049109883364
META,jump30,32579,32579,1.0
META,rp4_gamma_imb_near_short,32579,32514,0.9980048497498388
META,rp4_gamma_imb_near_spot,32579,32514,0.9980048497498388
META,rp4_gamma_imb_signed_trades,32579,32514,0.9980048497498388
META,rp4_gamma_imb_total,32579,32514,0.9980048497498388
MSFT,jump30,32580,32580,1.0
MSFT,rp4_gamma_imb_near_short,32580,32515,0.9980049109883364
MSFT,rp4_gamma_imb_near_spot,32580,32515,0.9980049109883364
MSFT,rp4_gamma_imb_signed_trades,32580,32515,0.9980049109883364
MSFT,rp4_gamma_imb_total,32580,32515,0.9980049109883364
NVDA,jump30,32580,32580,1.0
NVDA,rp4_gamma_imb_near_short,32580,32515,0.9980049109883364
NVDA,rp4_gamma_imb_near_spot,32580,32515,0.9980049109883364
NVDA,rp4_gamma_imb_signed_trades,32580,32515,0.9980049109883364
NVDA,rp4_gamma_imb_total,32580,32515,0.9980049109883364
TSLA,jump30,32580,32573,0.9997851442602824
TSLA,rp4_gamma_imb_near_short,32580,32515,0.9980049109883364
TSLA,rp4_gamma_imb_near_spot,32580,32515,0.9980049109883364
TSLA,rp4_gamma_imb_signed_trades,32580,32515,0.9980049109883364
TSLA,rp4_gamma_imb_total,32580,32515,0.9980049109883364
