window,asset,session_date,horizon,available_origins,available_empty,available_nonempty,available_unknown,executed_N_origins,executed_N_empty_origins,executed_N_nonempty_origins,executed_N_unknown_origins
primary,AAPL,2024-10-28,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-28,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-28,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-28,30m,65,0,65,0,65,0,65,0
primary,META,2024-10-28,5m,65,0,65,0,65,0,65,0
primary,META,2024-10-28,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-28,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-28,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-28,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-28,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-28,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-28,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-29,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-29,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-29,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-29,30m,65,0,65,0,65,0,65,0
primary,META,2024-10-29,5m,65,0,65,0,65,0,65,0
primary,META,2024-10-29,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-29,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-29,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-29,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-29,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-29,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-29,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-30,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-30,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-30,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-30,30m,65,0,65,0,65,0,65,0
primary,META,2024-10-30,5m,65,0,65,0,65,0,65,0
primary,META,2024-10-30,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-30,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-30,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-30,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-30,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-30,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-30,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-31,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-10-31,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-31,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-10-31,30m,65,0,65,0,65,0,65,0
primary,META,2024-10-31,5m,65,0,65,0,65,0,65,0
primary,META,2024-10-31,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-31,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-10-31,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-31,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-10-31,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-31,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-10-31,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-01,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-01,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-01,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-01,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-01,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-01,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-01,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-01,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-01,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-01,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-01,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-01,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-04,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-04,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-04,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-04,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-04,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-04,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-04,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-04,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-04,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-04,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-04,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-04,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-05,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-05,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-05,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-05,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-05,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-05,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-05,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-05,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-05,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-05,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-05,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-05,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-06,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-06,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-06,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-06,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-06,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-06,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-06,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-06,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-06,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-06,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-06,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-06,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-07,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-07,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-07,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-07,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-07,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-07,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-07,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-07,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-07,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-07,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-07,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-07,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-08,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-08,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-08,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-08,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-08,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-08,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-08,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-08,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-08,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-08,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-08,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-08,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-11,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-11,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-11,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-11,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-11,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-11,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-11,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-11,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-11,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-11,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-11,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-11,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-12,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-12,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-12,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-12,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-12,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-12,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-12,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-12,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-12,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-12,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-12,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-12,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-13,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-13,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-13,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-13,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-13,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-13,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-13,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-13,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-13,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-13,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-13,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-13,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-14,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-14,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-14,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-14,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-14,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-14,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-14,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-14,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-14,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-14,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-14,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-14,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-15,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-15,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-15,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-15,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-15,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-15,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-15,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-15,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-15,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-15,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-15,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-15,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-18,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-18,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-18,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-18,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-18,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-18,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-18,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-18,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-18,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-18,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-18,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-18,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-19,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-19,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-19,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-19,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-19,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-19,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-19,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-19,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-19,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-19,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-19,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-19,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-20,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-20,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-20,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-20,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-20,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-20,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-20,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-20,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-20,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-20,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-20,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-20,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-21,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-21,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-21,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-21,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-21,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-21,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-21,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-21,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-21,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-21,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-21,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-21,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-22,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-22,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-22,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-22,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-22,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-22,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-22,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-22,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-22,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-22,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-22,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-22,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,AAPL,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,AMZN,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,AMZN,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,META,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,META,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,MSFT,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,MSFT,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,NVDA,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,NVDA,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,TSLA,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,TSLA,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,AAPL,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-03,5m,65,0,65,0,65,0,65,0
