column,empty_rows,finite_values_replaced,unknown_count_rows,window_minutes
b2_5m_buy_premium_share,424,424,0,5
b2_5m_d_iv,424,424,0,5
b2_5m_decay_intensity_innovation,424,424,0,5
b2_5m_multileg_size_share,424,424,0,5
b2_5m_strike_hhi,424,424,0,5
b2_5m_zero_dte_premium_share,424,424,0,5
b2_5m_contract_entropy,424,424,0,5
b2_5m_d_mid_rel,424,424,0,5
b2_5m_d_spread,424,424,0,5
b2_5m_expiry_hhi,424,424,0,5
b2_5m_interarrival_cv,424,424,0,5
b2_5m_multileg_premium_share,424,424,0,5
b2_5m_otm_premium_share,424,424,0,5
b2_5m_passive_premium_share,424,424,0,5
b2_5m_sell_premium_share,424,424,0,5
b2_5m_sweep_premium_share,424,424,0,5
b2_5m_zero_dte_trade_share,424,424,0,5
b2_30m_buy_premium_share,396,396,0,30
b2_30m_d_iv,396,396,0,30
b2_30m_d_mid_rel,396,396,0,30
b2_30m_d_spread,396,396,0,30
b2_30m_decay_intensity_innovation,396,396,0,30
b2_30m_multileg_premium_share,396,396,0,30
b2_30m_multileg_size_share,396,396,0,30
b2_30m_otm_premium_share,396,396,0,30
b2_30m_passive_premium_share,396,396,0,30
b2_30m_sell_premium_share,396,396,0,30
b2_30m_sweep_premium_share,396,396,0,30
b2_30m_zero_dte_premium_share,396,396,0,30
b2_30m_zero_dte_trade_share,396,396,0,30
