comparison,reason,asset,column,rows,absolute_tolerance,relative_tolerance,finite_pairs,only_left_finite,only_right_finite,both_nonfinite,nonzero_difference_pairs,outside_tolerance_pairs,maximum_absolute_difference,mean_absolute_difference,mean_signed_difference
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,ALL,rp4_gamma_imb_total,195479,1e-8,1e-10,195479,0,0,0,455,455,5697464.933521271,4104.354957542046,-2027.0495030593909
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,ALL,rp4_gamma_imb_near_spot,195479,1e-8,1e-10,195479,0,0,0,455,455,5586970.567497253,2902.3833417195156,-746.3274150474867
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,ALL,rp4_gamma_imb_near_short,195479,1e-8,1e-10,195479,0,0,0,455,455,5485852.8732299805,2320.283359005474,114.62544517759622
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,ALL,rp4_gamma_imb_signed_trades,195479,1e-8,1e-10,195479,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AAPL,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AAPL,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AAPL,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AAPL,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AMZN,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AMZN,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AMZN,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,AMZN,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,META,rp4_gamma_imb_total,32579,1e-8,1e-10,32579,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,META,rp4_gamma_imb_near_spot,32579,1e-8,1e-10,32579,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,META,rp4_gamma_imb_near_short,32579,1e-8,1e-10,32579,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,META,rp4_gamma_imb_signed_trades,32579,1e-8,1e-10,32579,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,MSFT,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,MSFT,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,MSFT,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,MSFT,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,NVDA,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,455,455,5697464.933521271,24626.003767506492,-12162.234800753427
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,NVDA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,455,455,5586970.567497253,17414.210965499977,-4477.941582752231
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,NVDA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,455,455,5485852.8732299805,13921.628936004636,687.7491527891752
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,NVDA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,TSLA,rp4_gamma_imb_total,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,TSLA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,TSLA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
candidate_vs_independent_legacy,Independent implementation/source-order/dedup comparison,TSLA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32580,0,0,0,0,0,0.0,0.0,0.0
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,ALL,rp4_gamma_imb_total,195479,1e-8,1e-10,195479,0,0,0,163420,163404,223533054212.31125,3433861513.8929796,531479234.26433545
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,ALL,rp4_gamma_imb_near_spot,195479,1e-8,1e-10,195479,0,0,0,40891,40760,223533060025.9393,3433434280.0379043,531195945.6429154
legacy_vs_iv_only,IV range and induced prior-print multileg history changes only,ALL,rp4_gamma_imb_near_short,195479,1e-8,1e-10,195479,0,0,0,40891,40761,223533060025.93988,3433434280.0379043,531195945.6429153
