N_asset_sessions,N_high_asset_sessions,N_rest_asset_sessions,N_sessions,N_unknown_membership_origins,alternative,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,endpoint,estimate,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,pairing,removed_each_tail,sign,statistic,status
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0028395636678725366,-0.0068465626176321985,B1_over_B0,high_gamma_minus_rest_increment,-0.0010207705308403839,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6935,1.0,0.6936,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.00455499413572886,-0.0009258411360434127,B2_over_B1,high_gamma_minus_rest_increment,0.0016368380352311642,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2320,0.9284,0.2321,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0019078977053091889,-0.009155450439539026,B1_over_B0,high_gamma_minus_rest_increment,-0.003052544079598901,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2717,0.9284,0.2718,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.002465992874061581,-0.0012952530973588626,B2_over_B1,high_gamma_minus_rest_increment,0.0005593659351384273,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5547,1.0,0.5548,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0016025370710281914,-0.000562970773145044,B1_over_B0,high_gamma_minus_rest_increment,0.000731521239146174,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2006,0.8028,0.2007,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0012705919535570265,-0.0007916873022824344,B2_over_B1,high_gamma_minus_rest_increment,0.00012716807597716595,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7972,1.0,0.7973,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0011908800110596966,-0.001957155933494069,B1_over_B0,high_gamma_minus_rest_increment,-0.00019560030040639484,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8362,1.0,0.8363,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0013501446257116745,-0.0008051380763771793,B2_over_B1,high_gamma_minus_rest_increment,0.00037716841909137856,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,4074,1.0,0.4075,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.002003833527492579,-0.0006473289185588402,B1_over_B0,high_gamma_minus_rest_increment,0.0006205342623084066,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,3579,1.0,0.358,same_asset_session_contains_both_known_groups_then_equal_session,20,increment_high_minus_increment_rest,trimmed_mean_5pct,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.00144231042045368,-0.0009408342448011556,B2_over_B1,high_gamma_minus_rest_increment,0.00023535096120983314,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6840,1.0,0.6841,same_asset_session_contains_both_known_groups_then_equal_session,20,increment_high_minus_increment_rest,trimmed_mean_5pct,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.001402868588612483,-0.0034570998470155605,B1_over_B0,high_gamma_minus_rest_increment,-0.000963981897803872,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,4278,1.0,0.4279,same_asset_session_contains_both_known_groups_then_equal_session,20,increment_high_minus_increment_rest,trimmed_mean_5pct,COMPUTED
1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0020177423488307597,-0.0010664029147519627,B2_over_B1,high_gamma_minus_rest_increment,0.0004671772838502809,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5549,1.0,0.555,same_asset_session_contains_both_known_groups_then_equal_session,20,increment_high_minus_increment_rest,trimmed_mean_5pct,COMPUTED
