asset,session_date,origins,used_all_fallback,missing_bar_grid,duplicates__raw_rows,duplicates__conflicting_ids_audit_only,duplicates__later_distinct_versions_ignored,duplicates__first_available_tie_conflicts_audit_only,duplicates__unorderable_clock_rows,duplicates__exact_duplicate_rows_removed,duplicates__selected_rows,legacy_duplicates__raw_rows,legacy_duplicates__conflicting_ids_audit_only,legacy_duplicates__later_distinct_versions_ignored,legacy_duplicates__first_available_tie_conflicts_audit_only,legacy_duplicates__unorderable_clock_rows,legacy_duplicates__exact_duplicate_rows_removed,legacy_duplicates__selected_rows,iv__raw_asset_rows,iv__iv_null_rows,iv__iv_nonfinite_nonnull_rows,iv__iv_below_003_rows,iv__iv_above_3_rows,iv__iv_rejected_total_rows,iv__iv_rejected_percent,iv__old_iv_eligible_rows,iv__new_iv_eligible_rows,iv__newly_rejected_within_old_iv_range,legacy__base_valid_rows,legacy__calendar_valid_rows,legacy__created_before_executed_rows,legacy__numeric_valid_rows,legacy__nonfinite_multivol_rows,legacy__ambiguous_side_rows,legacy__signed_rows,iv_only__base_valid_rows,iv_only__calendar_valid_rows,iv_only__created_before_executed_rows,iv_only__numeric_valid_rows,iv_only__nonfinite_multivol_rows,iv_only__ambiguous_side_rows,iv_only__signed_rows,production__base_valid_rows,production__calendar_valid_rows,production__created_before_executed_rows,production__numeric_valid_rows,production__nonfinite_multivol_rows,production__ambiguous_side_rows,production__signed_rows,target_mask__missing_bar_keys,target_mask__quality_excluded_keys,target_mask__unobserved_target_bar_keys
AAPL,2024-08-02,65,false,false,304386,0,0,0,0,0,304386,304386,0,0,0,0,0,304386,304386,36532,0,0,64,36596,12.022891985833777,267851,267790,61,259274,242379,0,242379,0,0,198094,259233,242338,0,242338,0,0,198078,259233,242338,0,242338,0,0,198078,0,0,0
AAPL,2024-08-05,65,false,false,239735,0,0,0,0,0,239735,239735,0,0,0,0,0,239735,239735,92,0,0,8,100,0.04171272446659854,239642,239635,7,233796,206936,0,206936,0,0,173238,233793,206933,0,206933,0,0,173238,233793,206933,0,206933,0,0,173238,0,0,0
AAPL,2024-08-06,65,false,false,175934,0,0,0,0,0,175934,175934,0,0,0,0,0,175934,175934,1,0,0,6,7,0.003978764764059249,175933,175927,6,171120,152720,0,152720,0,0,125417,171114,152714,0,152714,0,0,125411,171114,152714,0,152714,0,0,125411,0,0,0
AAPL,2024-08-07,65,false,false,170438,0,0,0,0,0,170438,170438,0,0,0,0,0,170438,170438,1,0,0,3,4,0.0023468944718900713,170437,170434,3,165759,150542,0,150542,0,0,125418,165759,150542,0,150542,0,0,125418,165759,150542,0,150542,0,0,125418,0,0,0
AAPL,2024-08-08,65,false,false,132879,0,0,0,0,0,132879,132879,0,0,0,0,0,132879,132879,0,0,0,7,7,0.005267950541470059,132878,132872,6,127730,117514,0,117514,0,0,97855,127728,117512,0,117512,0,0,97854,127728,117512,0,117512,0,0,97854,0,0,0
AAPL,2024-08-09,65,false,false,145023,0,0,0,0,0,145023,145023,0,0,0,0,0,145023,145023,9109,0,0,3,9112,6.283141294829096,135912,135911,1,132828,123945,0,123945,0,0,100396,132827,123944,0,123944,0,0,100395,132827,123944,0,123944,0,0,100395,0,0,0
AAPL,2024-08-12,65,false,false,114402,0,0,0,0,0,114402,114402,0,0,0,0,0,114402,114402,0,0,0,3,3,0.0026223317774164787,114400,114399,1,111719,103426,0,103426,0,0,82395,111718,103425,0,103425,0,0,82394,111718,103425,0,103425,0,0,82394,0,0,0
AAPL,2024-08-13,65,false,false,110155,0,0,0,0,0,110155,110155,0,0,0,0,0,110155,110155,0,0,0,1,1,0.0009078117198493032,110155,110154,1,108577,100129,0,100129,0,0,78680,108577,100129,0,100129,0,0,78680,108577,100129,0,100129,0,0,78680,0,0,0
AAPL,2024-08-14,65,false,false,104660,0,0,0,0,0,104660,104660,0,0,0,0,0,104660,104660,0,0,0,9,9,0.008599273839098032,104659,104651,8,102845,96267,0,96267,0,0,79641,102837,96259,0,96259,0,0,79635,102837,96259,0,96259,0,0,79635,0,0,0
AAPL,2024-08-15,65,false,false,117704,0,0,0,0,0,117704,117704,0,0,0,0,0,117704,117704,7,0,0,20,27,0.02293889757357439,117686,117677,9,115468,102195,0,102195,0,0,81487,115461,102188,0,102188,0,0,81481,115461,102188,0,102188,0,0,81481,0,0,0
AAPL,2024-08-16,65,false,false,109393,0,0,0,0,0,109393,109393,0,0,0,0,0,109393,109393,4384,0,0,0,4384,4.007569040066549,105009,105009,0,102714,94294,0,94294,0,0,73116,102714,94294,0,94294,0,0,73116,102714,94294,0,94294,0,0,73116,0,0,0
AAPL,2024-08-19,65,false,false,91524,0,0,0,0,0,91524,91524,0,0,0,0,0,91524,91524,0,0,0,3,3,0.0032778287662252525,91524,91521,3,90254,84055,0,84055,0,0,68940,90252,84053,0,84053,0,0,68938,90252,84053,0,84053,0,0,68938,0,0,0
AAPL,2024-08-20,65,false,false,86239,0,0,0,0,0,86239,86239,0,0,0,0,0,86239,86239,0,0,0,0,0,0.0,86239,86239,0,85244,79192,0,79192,0,0,65709,85244,79192,0,79192,0,0,65709,85244,79192,0,79192,0,0,65709,0,0,0
AAPL,2024-08-21,65,false,false,84304,0,0,0,0,0,84304,84304,0,0,0,0,0,84304,84304,0,0,0,3,3,0.0035585500094894667,84304,84301,3,83171,77871,0,77871,0,0,64853,83169,77869,0,77869,0,0,64851,83169,77869,0,77869,0,0,64851,0,0,0
AAPL,2024-08-22,65,false,false,101776,0,0,0,0,0,101776,101776,0,0,0,0,0,101776,101776,0,0,0,21,21,0.02063354818424776,101775,101755,20,100488,93958,0,93958,0,0,77686,100469,93939,0,93939,0,0,77668,100469,93939,0,93939,0,0,77668,0,0,0
AAPL,2024-08-23,65,false,false,119851,0,0,0,0,0,119851,119851,0,0,0,0,0,119851,119851,8024,0,0,0,8024,6.6949795996695896,111827,111827,0,110120,102957,0,102957,0,0,81043,110120,102957,0,102957,0,0,81043,110120,102957,0,102957,0,0,81043,0,0,0
AAPL,2024-08-26,65,false,false,77132,0,0,0,0,0,77132,77132,0,0,0,0,0,77132,77132,0,0,0,1,1,0.001296478763677851,77132,77131,1,76170,70589,0,70589,0,0,56767,76169,70588,0,70588,0,0,56766,76169,70588,0,70588,0,0,56766,0,0,0
AAPL,2024-08-27,65,false,false,99440,0,0,0,0,0,99440,99440,0,0,0,0,0,99440,99440,0,0,0,0,0,0.0,99440,99440,0,98409,93255,0,93255,0,0,76510,98409,93255,0,93255,0,0,76510,98409,93255,0,93255,0,0,76510,0,0,0
AAPL,2024-08-28,65,false,false,121814,0,0,0,0,0,121814,121814,0,0,0,0,0,121814,121814,0,0,0,0,0,0.0,121814,121814,0,120597,114166,0,114166,0,0,96740,120597,114166,0,114166,0,0,96740,120597,114166,0,114166,0,0,96740,0,0,0
AAPL,2024-08-29,65,false,false,184249,0,0,0,0,0,184249,184249,0,0,0,0,0,184249,184249,16,0,0,27,43,0.023337982838441455,184217,184206,11,181642,167245,0,167245,0,0,136574,181636,167239,0,167239,0,0,136571,181636,167239,0,167239,0,0,136571,0,0,0
AAPL,2024-08-30,65,false,false,135290,0,0,0,0,0,135290,135290,0,0,0,0,0,135290,135290,9175,0,0,0,9175,6.781728139552073,126115,126115,0,124348,117392,0,117392,0,0,91963,124348,117392,0,117392,0,0,91963,124348,117392,0,117392,0,0,91963,0,0,0
AAPL,2024-09-03,65,false,false,117024,0,0,0,0,0,117024,117024,0,0,0,0,0,117024,117024,0,0,0,5,5,0.004272627837024884,117024,117019,5,115652,104629,0,104629,0,0,81631,115647,104624,0,104624,0,0,81626,115647,104624,0,104624,0,0,81626,0,0,0
AAPL,2024-09-04,65,false,false,130295,0,0,0,0,0,130295,130295,0,0,0,0,0,130295,130295,0,0,0,7,7,0.005372424114509383,130295,130288,7,128851,118128,0,118128,0,0,93522,128846,118123,0,118123,0,0,93517,128846,118123,0,118123,0,0,93517,0,0,0
AAPL,2024-09-05,65,false,false,113340,0,0,0,0,0,113340,113340,0,0,0,0,0,113340,113340,0,0,0,13,13,0.01146991353449797,113334,113327,7,111760,104818,0,104818,0,0,85570,111754,104812,0,104812,0,0,85566,111754,104812,0,104812,0,0,85566,0,0,0
AAPL,2024-09-06,65,false,false,145886,0,0,0,0,0,145886,145886,0,0,0,0,0,145886,145886,12380,0,0,2,12382,8.487449104094978,133504,133504,0,129929,121552,0,121552,0,0,96908,129929,121552,0,121552,0,0,96908,129929,121552,0,121552,0,0,96908,0,0,0
AAPL,2024-09-09,65,false,false,198720,0,0,0,0,0,198720,198720,0,0,0,0,0,198720,198720,0,0,0,6,6,0.0030193236714975845,198717,198714,3,196797,184970,0,184970,0,0,149459,196794,184967,0,184967,0,0,149457,196794,184967,0,184967,0,0,149457,0,0,0
AAPL,2024-09-10,65,false,false,139898,0,0,0,0,0,139898,139898,0,0,0,0,0,139898,139898,0,0,0,11,11,0.007862871520679353,139890,139887,3,138215,129174,0,129174,0,0,107364,138212,129171,0,129171,0,0,107364,138212,129171,0,129171,0,0,107364,0,0,0
AAPL,2024-09-11,65,false,false,109515,0,0,0,0,0,109515,109515,0,0,0,0,0,109515,109515,0,0,0,8,8,0.007304935396977583,109509,109507,2,108125,101427,0,101427,0,0,83504,108123,101425,0,101425,0,0,83502,108123,101425,0,101425,0,0,83502,0,0,0
AAPL,2024-09-12,65,false,false,98531,0,0,0,0,0,98531,98531,0,0,0,0,0,98531,98531,0,0,0,6,6,0.006089454080441688,98526,98525,1,96793,87630,0,87630,0,0,71580,96792,87629,0,87629,0,0,71579,96792,87629,0,87629,0,0,71579,0,0,0
AAPL,2024-09-13,65,false,false,107694,0,0,0,0,0,107694,107694,0,0,0,0,0,107694,107694,5991,0,0,0,5991,5.5629840102512675,101703,101703,0,98624,93063,0,93063,0,0,71408,98624,93063,0,93063,0,0,71408,98624,93063,0,93063,0,0,71408,0,0,0
AAPL,2024-09-16,65,false,false,164860,0,0,0,0,0,164860,164860,0,0,0,0,0,164860,164860,0,0,0,31,31,0.01880383355574427,164837,164829,8,161795,147904,0,147904,0,0,114934,161790,147899,0,147899,0,0,114933,161790,147899,0,147899,0,0,114933,0,0,0
AAPL,2024-09-17,65,false,false,93286,0,0,0,0,0,93286,93286,0,0,0,0,0,93286,93286,0,0,0,4,4,0.004287888857920803,93286,93282,4,91133,80849,0,80849,0,0,62100,91129,80845,0,80845,0,0,62097,91129,80845,0,80845,0,0,62097,0,0,0
AAPL,2024-09-18,65,false,false,200501,0,0,0,0,0,200501,200501,0,0,0,0,0,200501,200501,0,0,0,6,6,0.00299250377803602,200500,200495,5,197638,185744,0,185744,0,0,157187,197634,185740,0,185740,0,0,157184,197634,185740,0,185740,0,0,157184,0,0,0
AAPL,2024-09-19,65,false,false,207466,0,0,0,0,0,207466,207466,0,0,0,0,0,207466,207466,1,0,0,71,72,0.034704481698205975,207420,207394,26,203942,183292,0,183292,0,0,145821,203917,183267,0,183267,0,0,145803,203917,183267,0,183267,0,0,145803,0,0,0
