N_asset_sessions,N_available_origins,N_origins,N_sessions,N_unknown_membership_origins,N_verified_membership_origins,N_verified_nonmember_origins,alternative,baseline_loss,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,coverage_status,endpoint,estimate,expanded_loss,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,percent_reduction_mean,removed_each_tail,statistic,status,subset,reason
150,9750,750,25,0,9750,9000,two-sided,0.10174243500324189,5,9999,20260907,0.004549383425075966,-0.0006303987750903602,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.001887830785683866,0.09985460421755804,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,1545,0.6184,0.1546,1.8554999058394,0,mean,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09985460421755804,5,9999,20260907,0.0016774536585853449,-0.0008452415475094052,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.0003664090225264341,0.09948819519503159,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5817,1.0,0.5818,0.3669425415057688,0,mean,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09736749926689288,5,9999,20260907,0.0035980729056346917,-0.0011767145549546854,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0013680484458874398,0.09599945082100544,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2772,0.8319,0.2773,1.4050360296688926,0,mean,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09599945082100544,5,9999,20260907,0.0024915011543327806,-0.003661137478935945,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0005893957874512451,0.09658884660845671,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7197,1.0,0.7198,-0.6139574574756637,0,mean,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.10174243500324189,5,9999,20260907,0.004395093741913811,-0.0029791585291239903,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0001907547692752698,0.09985460421755804,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8590,1.0,0.8591,1.8554999058394,0,median,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09985460421755804,5,9999,20260907,0.00036087506584586704,-0.002537604993728945,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0002476534955139359,0.09948819519503159,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7432,1.0,0.7433,0.3669425415057688,0,median,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09736749926689288,5,9999,20260907,0.00558824066268547,-0.0015546987849428887,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0003232964778478731,0.09599945082100544,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6905,1.0,0.6906,1.4050360296688926,0,median,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09599945082100544,5,9999,20260907,0.0037993284211622277,-0.0023266696497637324,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0011240510189234679,0.09658884660845671,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2030,0.8124,0.2031,-0.6139574574756637,0,median,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.10174243500324189,5,9999,20260907,0.0044286754641724504,-0.0009798196152254169,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0016003580882860188,0.09985460421755804,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2502,0.8412,0.2503,1.8554999058394,1,trimmed_mean_5pct,COMPUTED,first_hour,
150,9750,750,25,0,9750,9000,two-sided,0.09985460421755804,5,9999,20260907,0.0015303329109895444,-0.0010399732581379039,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.00014903843022294924,0.09948819519503159,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8214,1.0,0.8215,0.3669425415057688,1,trimmed_mean_5pct,COMPUTED,first_hour,
