N_asset_sessions,N_available_origins,N_origins,N_sessions,N_unknown_membership_origins,N_verified_membership_origins,N_verified_nonmember_origins,alternative,baseline_loss,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,coverage_status,endpoint,estimate,expanded_loss,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,percent_reduction_mean,removed_each_tail,statistic,status,subset,reason
2509,160832,12451,419,0,160832,148381,two-sided,0.10289189595097199,5,9999,20260907,0.0027790665824870314,-0.0026043297185407736,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,-0.000339895660980627,0.10323179161195267,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8119,1.0,0.812,-0.3303424996100639,0,mean,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.10323179161195267,5,9999,20260907,0.0017498777764454545,-0.0006237624962855663,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.0006045879880249952,0.10262720362392763,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,3211,0.9636,0.3212,0.5856606560676925,0,mean,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.11721949094247523,5,9999,20260907,0.006418445567865622,-0.0011335938934006775,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.002221289874084466,0.11499820106839076,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2281,0.9128,0.2282,1.894983382221435,0,mean,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.11499820106839076,5,9999,20260907,0.0012558257077645186,-0.0065960472484416855,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,-0.001701421554809747,0.11669962262320051,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5210,1.0,0.5211,-1.4795201481437887,0,mean,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.10289189595097199,5,9999,20260907,0.0006328957640947402,-0.0018795283938780188,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0004419564094014228,0.10323179161195267,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5607,1.0,0.5608,-0.3303424996100639,0,median,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.10323179161195267,5,9999,20260907,0.000823837084455388,-0.0006306387218580692,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,8.354970051092925e-05,0.10262720362392763,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7613,1.0,0.7614,0.5856606560676925,0,median,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.11721949094247523,5,9999,20260907,0.0022935515887845537,9.856529375315559e-05,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0011576848172507662,0.11499820106839076,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,348,0.1396,0.0349,1.894983382221435,0,median,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.11499820106839076,5,9999,20260907,0.0011839291940467928,-0.000541142969708551,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.0002566057936301616,0.11669962262320051,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,4391,1.0,0.4392,-1.4795201481437887,0,median,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.10289189595097199,5,9999,20260907,1.706404916887867e-05,-0.002658938370713317,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0012960484484924927,0.10323179161195267,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,576,0.2308,0.0577,-0.3303424996100639,20,trimmed_mean_5pct,COMPUTED,first_hour,
2509,160832,12451,419,0,160832,148381,two-sided,0.10323179161195267,5,9999,20260907,0.0011093637636199118,-0.0006057214675063081,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.0002540188804083015,0.10262720362392763,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5544,1.0,0.5545,0.5856606560676925,20,trimmed_mean_5pct,COMPUTED,first_hour,
