window,model,fit_phase,partition,column,count_low,count_high,N_fit_records
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:0,1914,1980,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:1,0,1410,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:10,2508,2378,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:11,2541,2130,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:12,0,231,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:13,0,68,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:14,0,116,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:15,0,115,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:16,0,110,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:17,20,59,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:18,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:19,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:2,3042,2976,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:20,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:21,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:22,0,110,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:23,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:24,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:25,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:26,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:27,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:28,3010,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:29,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:3,0,1374,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:30,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:31,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:32,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:33,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:4,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:5,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:6,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:7,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:8,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,predicting,feature:9,0,30,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:0,30900,42720,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:1,0,20052,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:10,64657,66675,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:11,66990,55581,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:12,0,6468,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:13,0,2271,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:14,0,3314,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:15,79,4244,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:16,0,3341,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:17,380,2236,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:18,0,910,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:19,0,2260,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:2,41352,58068,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:20,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:21,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:22,0,3341,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:23,0,2260,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:24,0,910,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:25,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:26,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:27,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:28,62592,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:29,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:3,0,30870,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:30,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:31,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:32,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:33,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:4,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:5,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:6,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:7,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:8,0,0,419
primary,jump__log_ridge_harq__B0,inner_fit,training,feature:9,0,790,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:0,174,168,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:1,0,132,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:10,241,229,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:11,234,198,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:12,0,11,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:13,0,5,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:14,0,10,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:15,0,9,419
primary,jump__log_ridge_harq__B0,refit,predicting,feature:16,0,11,419
