horizon_minutes,window,information_set,phase,N_predictions,count_low,count_high,status
5,confirmation,B0,evaluation,9750,0,0,COMPUTED
5,confirmation,B0,validation,97500,0,0,COMPUTED
5,confirmation,B1,evaluation,9750,0,0,COMPUTED
5,confirmation,B1,validation,97500,0,0,COMPUTED
5,confirmation,B2,evaluation,9750,0,0,COMPUTED
5,confirmation,B2,validation,97500,0,0,COMPUTED
5,primary,B0,evaluation,160832,0,196,COMPUTED
5,primary,B0,validation,1608320,0,2058,COMPUTED
5,primary,B1,evaluation,160832,0,287,COMPUTED
5,primary,B1,validation,1608320,0,3173,COMPUTED
5,primary,B2,evaluation,160832,0,270,COMPUTED
5,primary,B2,validation,1608320,0,2907,COMPUTED
15,confirmation,B0,evaluation,9750,0,0,COMPUTED
15,confirmation,B0,validation,97500,0,0,COMPUTED
15,confirmation,B1,evaluation,9750,0,0,COMPUTED
15,confirmation,B1,validation,97500,0,0,COMPUTED
15,confirmation,B2,evaluation,9750,0,0,COMPUTED
15,confirmation,B2,validation,97500,0,0,COMPUTED
15,primary,B0,evaluation,160832,0,223,COMPUTED
15,primary,B0,validation,1608320,0,2027,COMPUTED
15,primary,B1,evaluation,160832,0,324,COMPUTED
15,primary,B1,validation,1608320,0,3487,COMPUTED
15,primary,B2,evaluation,160832,0,302,COMPUTED
15,primary,B2,validation,1608320,0,3311,COMPUTED
