horizon_minutes,window,asset,eligible_rows,failed_quality_gate,incomplete_mandatory_predictors,invalid_target,scheduled_rows
30,primary,AAPL,26898,0,155,7,27055
30,primary,AMZN,26743,0,312,0,27055
30,primary,META,26853,0,201,0,27054
30,primary,MSFT,26729,0,326,0,27055
30,primary,NVDA,26764,0,291,0,27055
30,primary,TSLA,26845,0,203,7,27055
30,confirmation,AAPL,1625,0,0,0,1625
30,confirmation,AMZN,1625,0,0,0,1625
30,confirmation,META,1625,0,0,0,1625
30,confirmation,MSFT,1625,0,0,0,1625
30,confirmation,NVDA,1625,0,0,0,1625
30,confirmation,TSLA,1625,0,0,0,1625
15,primary,AAPL,26898,0,155,7,27055
15,primary,AMZN,26743,0,312,0,27055
15,primary,META,26853,0,201,0,27054
15,primary,MSFT,26729,0,326,0,27055
15,primary,NVDA,26764,0,291,0,27055
15,primary,TSLA,26845,0,203,7,27055
15,confirmation,AAPL,1625,0,0,0,1625
15,confirmation,AMZN,1625,0,0,0,1625
15,confirmation,META,1625,0,0,0,1625
15,confirmation,MSFT,1625,0,0,0,1625
15,confirmation,NVDA,1625,0,0,0,1625
15,confirmation,TSLA,1625,0,0,0,1625
5,primary,AAPL,26898,0,155,7,27055
5,primary,AMZN,26743,0,312,0,27055
5,primary,META,26853,0,201,0,27054
5,primary,MSFT,26729,0,326,0,27055
5,primary,NVDA,26764,0,291,0,27055
5,primary,TSLA,26845,0,203,7,27055
5,confirmation,AAPL,1625,0,0,0,1625
5,confirmation,AMZN,1625,0,0,0,1625
5,confirmation,META,1625,0,0,0,1625
5,confirmation,MSFT,1625,0,0,0,1625
5,confirmation,NVDA,1625,0,0,0,1625
5,confirmation,TSLA,1625,0,0,0,1625
