horizon_minutes,window,N_asset_sessions,N_origins,N_sessions,alternative,baseline_loss,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,endpoint,estimate,expanded_loss,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,percent_reduction_mean,removed_each_tail,statistic,status
15,primary,2514,160832,419,two-sided,0.1836603717937846,5,9999,20260907,0.001400137754092201,0.0002594082140618126,B1_over_B0,qlike_distribution_secondary,0.0007919411520582731,0.18204406009086246,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,63,0.0256,0.0064,0.8800546830738928,0,median,COMPUTED
15,primary,2514,160832,419,two-sided,0.18204406009086246,5,9999,20260907,0.0014178262812839793,0.0004004055209703983,B2_over_B1,qlike_distribution_secondary,0.0007299916478353541,0.1809103004317701,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,236,0.0711,0.0237,0.622794096399778,0,median,COMPUTED
15,primary,2514,160832,419,two-sided,0.18775025839388218,5,9999,20260907,0.0016799001158536997,-0.00010985771934501898,B1_over_B0,qlike_distribution_secondary,0.000825783170811209,0.18555363911085654,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,725,0.087,0.0726,1.169968713660752,0,median,COMPUTED
15,primary,2514,160832,419,two-sided,0.18555363911085654,5,9999,20260907,0.0012429546500684063,8.712735927998705e-05,B2_over_B1,qlike_distribution_secondary,0.0005944673663635935,0.18576654218262378,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,434,0.087,0.0435,-0.1147393674343757,0,median,COMPUTED
15,primary,2514,160832,419,two-sided,0.1836603717937846,5,9999,20260907,0.0015383180701750941,0.0002773767076157303,B1_over_B0,qlike_distribution_secondary,0.0009164500671572769,0.18204406009086246,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,47,0.0144,0.0048,0.8800546830738928,20,trimmed_mean_5pct,COMPUTED
15,primary,2514,160832,419,two-sided,0.18204406009086246,5,9999,20260907,0.0016800044508343997,0.0004938844956544952,B2_over_B1,qlike_distribution_secondary,0.001059248795620688,0.1809103004317701,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,9,0.004,0.001,0.622794096399778,20,trimmed_mean_5pct,COMPUTED
15,primary,2514,160832,419,two-sided,0.18775025839388218,5,9999,20260907,0.0020959525856952704,0.00026391710242676793,B1_over_B0,qlike_distribution_secondary,0.0011559709900355157,0.18555363911085654,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,146,0.0294,0.0147,1.169968713660752,20,trimmed_mean_5pct,COMPUTED
15,primary,2514,160832,419,two-sided,0.18555363911085654,5,9999,20260907,0.0010806747540520667,-0.0001642366813499354,B2_over_B1,qlike_distribution_secondary,0.00048048462336809303,0.18576654218262378,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,1257,0.1258,0.1258,-0.1147393674343757,20,trimmed_mean_5pct,COMPUTED
15,confirmation,150,9750,25,two-sided,0.2390964004319574,5,9999,20260907,0.001676851767585058,-0.0007103292434489927,B1_over_B0,qlike_distribution_secondary,0.0006838061826980601,0.23868017521001647,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5164,0.7614,0.5165,0.17408259647110502,0,median,COMPUTED
15,confirmation,150,9750,25,two-sided,0.23868017521001647,5,9999,20260907,0.002502196062741144,-0.0011059622160617122,B2_over_B1,qlike_distribution_secondary,0.0010321515921699609,0.23391286195519181,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2015,0.6048,0.2016,1.9973645698181244,0,median,COMPUTED
