horizon_minutes,window,N_empty_origins,N_nonempty_origins,N_origins,N_sessions,N_unknown_origins,asset,horizon
15,primary,69,26829,26898,419,0,AAPL,5m
15,primary,68,26675,26743,419,0,AMZN,5m
15,primary,63,26790,26853,419,0,META,5m
15,primary,63,26666,26729,419,0,MSFT,5m
15,primary,77,26687,26764,419,0,NVDA,5m
15,primary,72,26773,26845,419,0,TSLA,5m
15,primary,65,26833,26898,419,0,AAPL,30m
15,primary,65,26678,26743,419,0,AMZN,30m
15,primary,59,26794,26853,419,0,META,30m
15,primary,59,26670,26729,419,0,MSFT,30m
15,primary,71,26693,26764,419,0,NVDA,30m
15,primary,65,26780,26845,419,0,TSLA,30m
15,confirmation,0,1625,1625,25,0,AAPL,5m
15,confirmation,0,1625,1625,25,0,AMZN,5m
15,confirmation,0,1625,1625,25,0,META,5m
15,confirmation,0,1625,1625,25,0,MSFT,5m
15,confirmation,0,1625,1625,25,0,NVDA,5m
15,confirmation,0,1625,1625,25,0,TSLA,5m
15,confirmation,0,1625,1625,25,0,AAPL,30m
15,confirmation,0,1625,1625,25,0,AMZN,30m
15,confirmation,0,1625,1625,25,0,META,30m
15,confirmation,0,1625,1625,25,0,MSFT,30m
15,confirmation,0,1625,1625,25,0,NVDA,30m
15,confirmation,0,1625,1625,25,0,TSLA,30m
5,primary,69,26829,26898,419,0,AAPL,5m
5,primary,68,26675,26743,419,0,AMZN,5m
5,primary,63,26790,26853,419,0,META,5m
5,primary,63,26666,26729,419,0,MSFT,5m
5,primary,77,26687,26764,419,0,NVDA,5m
5,primary,72,26773,26845,419,0,TSLA,5m
5,primary,65,26833,26898,419,0,AAPL,30m
5,primary,65,26678,26743,419,0,AMZN,30m
5,primary,59,26794,26853,419,0,META,30m
5,primary,59,26670,26729,419,0,MSFT,30m
5,primary,71,26693,26764,419,0,NVDA,30m
5,primary,65,26780,26845,419,0,TSLA,30m
5,confirmation,0,1625,1625,25,0,AAPL,5m
5,confirmation,0,1625,1625,25,0,AMZN,5m
5,confirmation,0,1625,1625,25,0,META,5m
5,confirmation,0,1625,1625,25,0,MSFT,5m
5,confirmation,0,1625,1625,25,0,NVDA,5m
5,confirmation,0,1625,1625,25,0,TSLA,5m
5,confirmation,0,1625,1625,25,0,AAPL,30m
5,confirmation,0,1625,1625,25,0,AMZN,30m
5,confirmation,0,1625,1625,25,0,META,30m
5,confirmation,0,1625,1625,25,0,MSFT,30m
5,confirmation,0,1625,1625,25,0,NVDA,30m
5,confirmation,0,1625,1625,25,0,TSLA,30m
