horizon_minutes,window,N_asset_sessions,N_high_asset_sessions,N_rest_asset_sessions,N_sessions,N_unknown_membership_origins,alternative,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,endpoint,estimate,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,pairing,removed_each_tail,sign,statistic,status
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0018090966960189422,-0.004341941814221491,B1_over_B0,high_gamma_minus_rest_increment,-0.000756535317381539,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6458,1.0,0.6459,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0021170556126953862,-0.002639758728756107,B2_over_B1,high_gamma_minus_rest_increment,-0.00010305188951440071,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,9311,1.0,0.9312,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0012353607144573256,-0.00648500902090139,B1_over_B0,high_gamma_minus_rest_increment,-0.00224837836723824,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,2528,0.7587,0.2529,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.00046996546266233333,-0.006177273543047184,B2_over_B1,high_gamma_minus_rest_increment,-0.002541219368568423,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,1266,0.5068,0.1267,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,mean,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0009565898878807627,-0.0012004583751493852,B1_over_B0,high_gamma_minus_rest_increment,-0.0001465672747197836,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8177,1.0,0.8178,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.000942754601921638,-0.0015554074841651958,B2_over_B1,high_gamma_minus_rest_increment,-0.0003952765601576147,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7036,1.0,0.7037,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0002029066899524451,-0.0026935047482099655,B1_over_B0,high_gamma_minus_rest_increment,-0.0014713308053513202,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,857,0.3432,0.0858,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0016873434879915578,-0.001816486126365105,B2_over_B1,high_gamma_minus_rest_increment,0.0004938442750876681,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,4425,1.0,0.4426,same_asset_session_contains_both_known_groups_then_equal_session,0,increment_high_minus_increment_rest,median,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0013457179555306615,-0.0011056201019275346,B1_over_B0,high_gamma_minus_rest_increment,9.218113290337658e-05,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,8844,1.0,0.8845,same_asset_session_contains_both_known_groups_then_equal_session,20,increment_high_minus_increment_rest,trimmed_mean_5pct,COMPUTED
15,primary,1384,1694,2198,403,378,two-sided,5,9999,20260907,0.0014984902197436318,-0.0009711923876913822,B2_over_B1,high_gamma_minus_rest_increment,0.0002521106059301439,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6811,1.0,0.6812,same_asset_session_contains_both_known_groups_then_equal_session,20,increment_high_minus_increment_rest,trimmed_mean_5pct,COMPUTED
