horizon_minutes,window,HAC_SE,HAC_lags,HAC_long_run_variance,N_sessions,assumptions,contrast,family,inference_role,interpretation,likelihood,mean,not_bootstrap_sign_frequency,prior,probability_positive,status,variance_uncertainty_integrated
15,primary,0.0008453723920677583,5,0.0002994402276522824,419,mean CLT; short memory; finite variance; consistent HAC estimate,B1_over_B0,log_ridge_harq,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.0016163117029221244,True,flat improper prior on real-valued delta,0.9720588447617818,COMPUTED,False
15,primary,0.00041455964366187396,5,7.20092135261321e-05,419,mean CLT; short memory; finite variance; consistent HAC estimate,B2_over_B1,log_ridge_harq,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.0011337596590923558,True,flat improper prior on real-valued delta,0.996879592430003,COMPUTED,False
15,primary,0.0009057048385047076,5,0.0003437062256316613,419,mean CLT; short memory; finite variance; consistent HAC estimate,B1_over_B0,lightgbm_qlike,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.0021966192830256415,True,flat improper prior on real-valued delta,0.9923524397245813,COMPUTED,False
15,primary,0.0008263979771318869,5,0.00028614918535861564,419,mean CLT; short memory; finite variance; consistent HAC estimate,B2_over_B1,lightgbm_qlike,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",-0.00021290307176726115,True,flat improper prior on real-valued delta,0.3983470960435517,COMPUTED,False
15,confirmation,0.0012628453320850668,5,3.9869458319226064e-05,25,mean CLT; short memory; finite variance; consistent HAC estimate,B1_over_B0,log_ridge_harq,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.00041622522194090185,True,flat improper prior on real-valued delta,0.6291463156731162,COMPUTED,False
15,confirmation,0.00429284125709559,5,0.0004607121514655511,25,mean CLT; short memory; finite variance; consistent HAC estimate,B2_over_B1,log_ridge_harq,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.004767313254824691,True,flat improper prior on real-valued delta,0.8666138561433339,COMPUTED,False
15,confirmation,0.004092352018114489,5,0.00041868362600414326,25,mean CLT; short memory; finite variance; consistent HAC estimate,B1_over_B0,lightgbm_qlike,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.007482146159045653,True,flat improper prior on real-valued delta,0.9662495437270622,COMPUTED,False
15,confirmation,0.0029539987963991365,5,0.00021815272222818868,25,mean CLT; short memory; finite variance; consistent HAC estimate,B2_over_B1,lightgbm_qlike,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",-0.0022724768497439274,True,flat improper prior on real-valued delta,0.2208610768520033,COMPUTED,False
5,primary,0.0005026822463677106,5,0.00010587687570076752,419,mean CLT; short memory; finite variance; consistent HAC estimate,B1_over_B0,log_ridge_harq,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.0013164097944550013,True,flat improper prior on real-valued delta,0.9955876444093482,COMPUTED,False
5,primary,0.0004272798134724582,5,7.649600834144359e-05,419,mean CLT; short memory; finite variance; consistent HAC estimate,B2_over_B1,log_ridge_harq,SECONDARY,CONDITIONAL_ASYMPTOTIC_GAUSSIAN_APPROXIMATION,"mean | delta,v ~ Normal(delta,v); v=HAC5/N plug-in",0.0008910156531213365,True,flat improper prior on real-valued delta,0.9814799228180422,COMPUTED,False
