horizon_minutes,window,N_asset_sessions,N_available_origins,N_origins,N_sessions,N_unknown_membership_origins,N_verified_membership_origins,N_verified_nonmember_origins,alternative,baseline_loss,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,ci_high,ci_low,contrast,coverage_status,endpoint,estimate,expanded_loss,family,holm_family_size,holm_unavailable_treated_as_one,inference_role,interval,null,null_calibration,null_exceedances,p_holm,p_raw,percent_reduction_mean,removed_each_tail,statistic,status,subset,reason
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.14066166508758465,5,9999,20260907,0.004547816386226671,-0.0017962292947302503,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0006491103523353859,0.1400125547352493,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,7022,1.0,0.7023,0.46146926522674786,0,mean,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.1400125547352493,5,9999,20260907,0.0013661024170148162,-0.0005020394507697894,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.0004260804810304033,0.13958647425421888,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,3673,1.0,0.3674,0.30431591069535285,0,mean,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.15649565153900538,5,9999,20260907,0.005691228335367042,-0.0012303137311533016,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0016859251854261879,0.1548097263535792,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,3343,1.0,0.3344,1.077298422573731,0,mean,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.1548097263535792,5,9999,20260907,0.0012062927825518472,-0.013971079291301992,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0041755058482506185,0.15898523220182983,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5096,1.0,0.5097,-2.697185730251813,0,mean,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.14066166508758465,5,9999,20260907,-4.521619418047795e-05,-0.0018759121381810295,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0006763216765484845,0.1400125547352493,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,1154,0.34650000000000003,0.1155,0.46146926522674786,0,median,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.1400125547352493,5,9999,20260907,0.0007340871686382852,-0.000662681564514711,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,-0.00016149546284030536,0.13958647425421888,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6181,1.0,0.6182,0.30431591069535285,0,median,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.15649565153900538,5,9999,20260907,0.0015033895623048493,-0.0001138762732043469,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0007914161991102731,0.1548097263535792,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,580,0.2324,0.0581,1.077298422573731,0,median,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.1548097263535792,5,9999,20260907,0.0010561821614561429,-0.0005296225215567496,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.00016839928818734862,0.15898523220182983,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5678,1.0,0.5679,-2.697185730251813,0,median,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.14066166508758465,5,9999,20260907,-1.8862464168203294e-05,-0.002061112035798857,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,-0.0010196447699496842,0.1400125547352493,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,502,0.2012,0.0503,0.46146926522674786,20,trimmed_mean_5pct,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.1400125547352493,5,9999,20260907,0.0009692917487174209,-0.0006234885749734957,B2_over_B1,COMPLETE_COVERAGE,qlike_regime_secondary,0.0001881315470541716,0.13958647425421888,log_ridge_harq,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,6415,1.0,0.6416,0.30431591069535285,20,trimmed_mean_5pct,COMPUTED,first_hour,
15,primary,2509,160832,12451,419,0,160832,148381,two-sided,0.15649565153900538,5,9999,20260907,0.0015734309484286395,-0.0008975752903864605,B1_over_B0,COMPLETE_COVERAGE,qlike_regime_secondary,0.0003708677431341879,0.1548097263535792,lightgbm_qlike,4,False,SECONDARY,two-sided percentile 95%; not inversion of centered-null p,delta = 0,resampled statistic minus observed statistic; +1 correction,5632,1.0,0.5633,1.077298422573731,20,trimmed_mean_5pct,COMPUTED,first_hour,
