horizon_minutes,window,endpoint,inference_role,alternative,regime,n_sessions,family,contrast,statistic,estimate,ci_low,ci_high,p_raw,p_holm,null_exceedances,holm_family_size,baseline_loss,percent_reduction_mean,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,spec_sha256
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Linear,B1_over_B0,mean,0.0004561780277017349,-0.0005936076659838137,0.001459214548391641,0.3854,1.0,3853,4,0.16414849212404214,0.2779057070819845,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Linear,B1_over_B0,median,0.00047018129587160506,-4.814908849658239e-05,0.0011542409161044986,0.1701,0.5103,1700,4,0.16414849212404214,0.2779057070819845,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Linear,B1_over_B0,trimmed_mean_5pct,0.0005231017314771032,-0.0005103291301200497,0.0014766045390691364,0.2986,0.8957999999999999,2985,4,0.16414849212404214,0.2779057070819845,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Linear,B2_over_B1,mean,0.00040720655118254103,-0.0007808513396964572,0.001416758486606473,0.4692,1.0,4691,4,0.16369231409634039,0.24876339089621607,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Linear,B2_over_B1,median,0.0006146776461680575,-0.00035340492774273147,0.0013083240267628138,0.0968,0.3872,967,4,0.16369231409634039,0.24876339089621607,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Linear,B2_over_B1,trimmed_mean_5pct,0.0007043144184511305,9.125931814578409e-05,0.0013332785143809573,0.027,0.108,269,4,0.16369231409634039,0.24876339089621607,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Trees,B1_over_B0,mean,0.0009939698518654726,-0.0005259234684631518,0.0025550403750634765,0.2086,0.8344,2085,4,0.1663100682138059,0.597660660320119,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Trees,B1_over_B0,median,0.0005735389944975175,-0.0012383906382461563,0.002187703503888,0.4918,0.9836,4917,4,0.1663100682138059,0.597660660320119,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Trees,B1_over_B0,trimmed_mean_5pct,0.0006373588455867828,-0.0007221183332582196,0.0019606502311412554,0.3505,0.8957999999999999,3504,4,0.1663100682138059,0.597660660320119,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_low,140,Trees,B2_over_B1,mean,0.0003280191710946695,-0.0007292808785219635,0.0013629854027622595,0.5336,1.0,5335,4,0.16531609836194044,0.1984193761798742,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
