horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions,qlike_origin
15,2024-10-28,seasonal_persistence,B0,0.2065575076190245,2.8813414135911405e-06,2.5040560185691832e-11,390,6,0.20655750761902456
15,2024-10-28,seasonal_persistence,B1,0.2065575076190245,2.8813414135911405e-06,2.5040560185691832e-11,390,6,0.20655750761902456
15,2024-10-28,seasonal_persistence,B2,0.2065575076190245,2.8813414135911405e-06,2.5040560185691832e-11,390,6,0.20655750761902456
15,2024-10-28,log_har,B0,0.13372744927438293,1.984493046447208e-06,1.1636072010704613e-11,390,6,0.1337274492743829
15,2024-10-28,log_har,B1,0.14394849547283628,2.0195678820701977e-06,1.1929046825498119e-11,390,6,0.14394849547283625
15,2024-10-28,log_har,B2,0.1391593644066327,1.9696420248882065e-06,1.1715119068877552e-11,390,6,0.13915936440663276
15,2024-10-28,log_ridge_harq,B0,0.1360238827571666,2.0211734829655574e-06,1.1946670286579143e-11,390,6,0.1360238827571666
15,2024-10-28,log_ridge_harq,B1,0.1490048440858797,2.0716837029350278e-06,1.1730209356090394e-11,390,6,0.1490048440858797
15,2024-10-28,log_ridge_harq,B2,0.14076519847095406,1.9713393752855715e-06,1.137046333304041e-11,390,6,0.14076519847095406
15,2024-10-28,log_elastic_net,B0,0.13388635325844558,1.986891998248786e-06,1.1671371629951436e-11,390,6,0.13388635325844558
15,2024-10-28,log_elastic_net,B1,0.15376744156128883,2.1677518381036504e-06,1.234290901291816e-11,390,6,0.1537674415612888
15,2024-10-28,log_elastic_net,B2,0.1447896179889567,2.090536279962953e-06,1.1858490098251176e-11,390,6,0.1447896179889567
15,2024-10-28,lightgbm_qlike,B0,0.13603903112116963,1.8977665649624337e-06,1.0300139687485656e-11,390,6,0.13603903112116966
15,2024-10-28,lightgbm_qlike,B1,0.15170922058169153,1.9797793093886957e-06,1.0250323333182468e-11,390,6,0.15170922058169153
15,2024-10-28,lightgbm_qlike,B2,0.16036809437593894,2.078927073119136e-06,1.0832430557553352e-11,390,6,0.16036809437593894
15,2024-10-28,selector_primary,B0,0.13388635325844558,1.986891998248786e-06,1.1671371629951436e-11,390,6,0.13388635325844558
15,2024-10-28,selector_primary,B1,0.15376744156128883,2.1677518381036504e-06,1.234290901291816e-11,390,6,0.1537674415612888
15,2024-10-28,selector_primary,B2,0.1447896179889567,2.090536279962953e-06,1.1858490098251176e-11,390,6,0.1447896179889567
15,2024-10-28,ensemble_top2,B0,0.13489799717965326,2.0040001026083445e-06,1.1797792657101355e-11,390,6,0.13489799717965328
15,2024-10-28,ensemble_top2,B1,0.14975980256038618,2.047747717789097e-06,1.086393297483533e-11,390,6,0.14975980256038618
15,2024-10-28,ensemble_top2,B2,0.1500074871840152,2.0538061061375743e-06,1.093480000572248e-11,390,6,0.15000748718401516
15,2024-10-28,average_linear3,B0,0.13448226118968856,1.997362102646685e-06,1.1737682584696071e-11,390,6,0.13448226118968853
