horizon_minutes,information_set,family,stage,alpha,l1_ratio,N_sessions,N_calendar,eligible_sessions,attempted_sessions,converged_sessions,excluded_sessions,active_after_stage_sessions,not_attempted_sessions,selected_sessions,exclusion_frequency,status
15,B0,log_elastic_net,inner_fit,0.0001,0.1,419,419,419,419,419,0,419,0,77,0.0,COMPLETE
15,B0,log_elastic_net,refit,0.0001,0.1,419,419,419,77,77,0,419,342,77,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,0.0001,0.5,419,419,419,419,419,0,419,0,15,0.0,COMPLETE
15,B0,log_elastic_net,refit,0.0001,0.5,419,419,419,15,15,0,419,404,15,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,0.0001,0.9,419,419,419,419,419,0,419,0,167,0.0,COMPLETE
15,B0,log_elastic_net,refit,0.0001,0.9,419,419,419,167,167,0,419,252,167,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,0.01,0.1,419,419,419,419,419,0,419,0,62,0.0,COMPLETE
15,B0,log_elastic_net,refit,0.01,0.1,419,419,419,62,62,0,419,357,62,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,0.01,0.5,419,419,419,419,419,0,419,0,21,0.0,COMPLETE
15,B0,log_elastic_net,refit,0.01,0.5,419,419,419,21,21,0,419,398,21,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,0.01,0.9,419,419,419,419,419,0,419,0,73,0.0,COMPLETE
15,B0,log_elastic_net,refit,0.01,0.9,419,419,419,73,73,0,419,346,73,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,1.0,0.1,419,419,419,419,419,0,419,0,3,0.0,COMPLETE
15,B0,log_elastic_net,refit,1.0,0.1,419,419,419,3,3,0,419,416,3,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,1.0,0.5,419,419,419,419,419,0,419,0,1,0.0,COMPLETE
15,B0,log_elastic_net,refit,1.0,0.5,419,419,419,1,1,0,419,418,1,0.0,COMPLETE
15,B0,log_elastic_net,inner_fit,1.0,0.9,419,419,419,419,419,0,419,0,0,0.0,COMPLETE
15,B0,log_elastic_net,refit,1.0,0.9,419,419,419,0,0,0,419,419,0,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,0.0001,0.1,419,419,419,419,419,0,419,0,103,0.0,COMPLETE
15,B1,log_elastic_net,refit,0.0001,0.1,419,419,419,103,103,0,419,316,103,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,0.0001,0.5,419,419,419,419,419,0,419,0,37,0.0,COMPLETE
15,B1,log_elastic_net,refit,0.0001,0.5,419,419,419,37,37,0,419,382,37,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,0.0001,0.9,419,419,419,419,419,0,419,0,109,0.0,COMPLETE
15,B1,log_elastic_net,refit,0.0001,0.9,419,419,419,109,109,0,419,310,109,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,0.01,0.1,419,419,419,419,419,0,419,0,57,0.0,COMPLETE
15,B1,log_elastic_net,refit,0.01,0.1,419,419,419,57,57,0,419,362,57,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,0.01,0.5,419,419,419,419,419,0,419,0,25,0.0,COMPLETE
15,B1,log_elastic_net,refit,0.01,0.5,419,419,419,25,25,0,419,394,25,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,0.01,0.9,419,419,419,419,419,0,419,0,74,0.0,COMPLETE
15,B1,log_elastic_net,refit,0.01,0.9,419,419,419,74,74,0,419,345,74,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,1.0,0.1,419,419,419,419,419,0,419,0,14,0.0,COMPLETE
15,B1,log_elastic_net,refit,1.0,0.1,419,419,419,14,14,0,419,405,14,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,1.0,0.5,419,419,419,419,419,0,419,0,0,0.0,COMPLETE
15,B1,log_elastic_net,refit,1.0,0.5,419,419,419,0,0,0,419,419,0,0.0,COMPLETE
15,B1,log_elastic_net,inner_fit,1.0,0.9,419,419,419,419,419,0,419,0,0,0.0,COMPLETE
