horizon_minutes,information_set,family,selected_sessions,N_sessions,selection_frequency,top2_sessions,mean_top2_weight,status
15,B0,seasonal_persistence,0.0,419,0.0,2.0,0.002386634844868735,COMPLETE
15,B0,log_har,29.0,419,0.06921241050119331,72.0,0.08591885441527446,COMPLETE
15,B0,log_ridge_harq,68.0,419,0.162291169451074,240.0,0.2863961813842482,COMPLETE
15,B0,log_elastic_net,119.0,419,0.2840095465393795,299.0,0.3568019093078759,COMPLETE
15,B0,lightgbm_qlike,203.0,419,0.48448687350835323,225.0,0.2684964200477327,COMPLETE
15,B0,mlp_log,,0,,,,DEFERRED_COST_NOT_EVALUATED_IN_THIS_RUN
15,B1,seasonal_persistence,0.0,419,0.0,1.0,0.0011933174224343676,COMPLETE
15,B1,log_har,23.0,419,0.05489260143198091,73.0,0.08711217183770883,COMPLETE
15,B1,log_ridge_harq,77.0,419,0.18377088305489261,248.0,0.29594272076372313,COMPLETE
15,B1,log_elastic_net,107.0,419,0.2553699284009546,293.0,0.3496420047732697,COMPLETE
15,B1,lightgbm_qlike,212.0,419,0.5059665871121718,223.0,0.26610978520286394,COMPLETE
15,B1,mlp_log,,0,,,,DEFERRED_COST_NOT_EVALUATED_IN_THIS_RUN
15,B2,seasonal_persistence,0.0,419,0.0,1.0,0.0011933174224343676,COMPLETE
15,B2,log_har,37.0,419,0.0883054892601432,93.0,0.11097852028639618,COMPLETE
15,B2,log_ridge_harq,48.0,419,0.11455847255369929,231.0,0.2756563245823389,COMPLETE
15,B2,log_elastic_net,146.0,419,0.34844868735083534,302.0,0.360381861575179,COMPLETE
15,B2,lightgbm_qlike,188.0,419,0.4486873508353222,211.0,0.25178997613365156,COMPLETE
15,B2,mlp_log,,0,,,,DEFERRED_COST_NOT_EVALUATED_IN_THIS_RUN
