horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions
15,2024-10-28,seasonal_persistence,B0,0.2065575076190245,2.8813414135911405e-06,2.5040560185691832e-11,390,6
15,2024-10-28,seasonal_persistence,B1,0.2065575076190245,2.8813414135911405e-06,2.5040560185691832e-11,390,6
15,2024-10-28,seasonal_persistence,B2,0.2065575076190245,2.8813414135911405e-06,2.5040560185691832e-11,390,6
15,2024-10-29,seasonal_persistence,B0,0.204534602484957,2.5777285749830563e-06,1.9227810182787377e-11,390,6
15,2024-10-29,seasonal_persistence,B1,0.204534602484957,2.5777285749830563e-06,1.9227810182787377e-11,390,6
15,2024-10-29,seasonal_persistence,B2,0.204534602484957,2.5777285749830563e-06,1.9227810182787377e-11,390,6
15,2024-10-30,seasonal_persistence,B0,0.23567483574583611,2.6107644523181763e-06,1.602777897691391e-11,390,6
15,2024-10-30,seasonal_persistence,B1,0.23567483574583611,2.6107644523181763e-06,1.602777897691391e-11,390,6
15,2024-10-30,seasonal_persistence,B2,0.23567483574583611,2.6107644523181763e-06,1.602777897691391e-11,390,6
15,2024-10-31,seasonal_persistence,B0,0.4650826067282057,4.159854882945585e-06,4.9314316737563024e-11,390,6
15,2024-10-31,seasonal_persistence,B1,0.4650826067282057,4.159854882945585e-06,4.9314316737563024e-11,390,6
15,2024-10-31,seasonal_persistence,B2,0.4650826067282057,4.159854882945585e-06,4.9314316737563024e-11,390,6
15,2024-11-01,seasonal_persistence,B0,0.34750281956402346,3.49895203400965e-06,3.2278524456402685e-11,390,6
15,2024-11-01,seasonal_persistence,B1,0.34750281956402346,3.49895203400965e-06,3.2278524456402685e-11,390,6
15,2024-11-01,seasonal_persistence,B2,0.34750281956402346,3.49895203400965e-06,3.2278524456402685e-11,390,6
15,2024-11-04,seasonal_persistence,B0,0.14231760899817011,2.370838975496214e-06,1.592596573602305e-11,390,6
15,2024-11-04,seasonal_persistence,B1,0.14231760899817011,2.370838975496214e-06,1.592596573602305e-11,390,6
15,2024-11-04,seasonal_persistence,B2,0.14231760899817011,2.370838975496214e-06,1.592596573602305e-11,390,6
15,2024-11-05,seasonal_persistence,B0,0.13737888075895813,2.242389001286925e-06,1.5110894288207822e-11,390,6
15,2024-11-05,seasonal_persistence,B1,0.13737888075895813,2.242389001286925e-06,1.5110894288207822e-11,390,6
15,2024-11-05,seasonal_persistence,B2,0.13737888075895813,2.242389001286925e-06,1.5110894288207822e-11,390,6
15,2024-11-06,seasonal_persistence,B0,0.28659606064376175,4.201232368539834e-06,6.89138959384388e-11,390,6
15,2024-11-06,seasonal_persistence,B1,0.28659606064376175,4.201232368539834e-06,6.89138959384388e-11,390,6
15,2024-11-06,seasonal_persistence,B2,0.28659606064376175,4.201232368539834e-06,6.89138959384388e-11,390,6
15,2024-11-07,seasonal_persistence,B0,0.20803044486327826,2.7708294983265844e-06,2.0037838938910792e-11,390,6
15,2024-11-07,seasonal_persistence,B1,0.20803044486327826,2.7708294983265844e-06,2.0037838938910792e-11,390,6
15,2024-11-07,seasonal_persistence,B2,0.20803044486327826,2.7708294983265844e-06,2.0037838938910792e-11,390,6
15,2024-11-08,seasonal_persistence,B0,0.6395745978217886,8.458791764390231e-06,4.591368688750975e-10,390,6
15,2024-11-08,seasonal_persistence,B1,0.6395745978217886,8.458791764390231e-06,4.591368688750975e-10,390,6
15,2024-11-08,seasonal_persistence,B2,0.6395745978217886,8.458791764390231e-06,4.591368688750975e-10,390,6
15,2024-11-11,seasonal_persistence,B0,0.9498491900179679,1.4053126759018208e-05,1.5639365075845123e-09,390,6
15,2024-11-11,seasonal_persistence,B1,0.9498491900179679,1.4053126759018208e-05,1.5639365075845123e-09,390,6
15,2024-11-11,seasonal_persistence,B2,0.9498491900179679,1.4053126759018208e-05,1.5639365075845123e-09,390,6
15,2024-11-12,seasonal_persistence,B0,0.3804552814464022,7.514684403109316e-06,3.1791245261306433e-10,390,6
15,2024-11-12,seasonal_persistence,B1,0.3804552814464022,7.514684403109316e-06,3.1791245261306433e-10,390,6
15,2024-11-12,seasonal_persistence,B2,0.3804552814464022,7.514684403109316e-06,3.1791245261306433e-10,390,6
15,2024-11-13,seasonal_persistence,B0,0.22966204751403174,5.656081003341165e-06,1.7668451326456815e-10,390,6
15,2024-11-13,seasonal_persistence,B1,0.22966204751403174,5.656081003341165e-06,1.7668451326456815e-10,390,6
15,2024-11-13,seasonal_persistence,B2,0.22966204751403174,5.656081003341165e-06,1.7668451326456815e-10,390,6
15,2024-11-14,seasonal_persistence,B0,0.9494530045891412,7.560215418500718e-06,4.394865402412265e-10,390,6
15,2024-11-14,seasonal_persistence,B1,0.9494530045891412,7.560215418500718e-06,4.394865402412265e-10,390,6
15,2024-11-14,seasonal_persistence,B2,0.9494530045891412,7.560215418500718e-06,4.394865402412265e-10,390,6
15,2024-11-15,seasonal_persistence,B0,0.693533300319659,8.621351549834019e-06,2.396027197234769e-10,390,6
15,2024-11-15,seasonal_persistence,B1,0.693533300319659,8.621351549834019e-06,2.396027197234769e-10,390,6
15,2024-11-15,seasonal_persistence,B2,0.693533300319659,8.621351549834019e-06,2.396027197234769e-10,390,6
15,2024-11-18,seasonal_persistence,B0,0.23263725434615112,6.702984132402942e-06,2.0238231066856222e-10,390,6
15,2024-11-18,seasonal_persistence,B1,0.23263725434615112,6.702984132402942e-06,2.0238231066856222e-10,390,6
15,2024-11-18,seasonal_persistence,B2,0.23263725434615112,6.702984132402942e-06,2.0238231066856222e-10,390,6
15,2024-11-19,seasonal_persistence,B0,0.2677568128543533,5.908592714167398e-06,1.3260477411236596e-10,390,6
15,2024-11-19,seasonal_persistence,B1,0.2677568128543533,5.908592714167398e-06,1.3260477411236596e-10,390,6
15,2024-11-19,seasonal_persistence,B2,0.2677568128543533,5.908592714167398e-06,1.3260477411236596e-10,390,6
15,2024-11-20,seasonal_persistence,B0,0.22991625612078515,5.567311943147578e-06,9.706703979759311e-11,390,6
15,2024-11-20,seasonal_persistence,B1,0.22991625612078515,5.567311943147578e-06,9.706703979759311e-11,390,6
15,2024-11-20,seasonal_persistence,B2,0.22991625612078515,5.567311943147578e-06,9.706703979759311e-11,390,6
15,2024-11-21,seasonal_persistence,B0,0.532163701958248,9.780278698645062e-06,4.445730195213288e-10,390,6
15,2024-11-21,seasonal_persistence,B1,0.532163701958248,9.780278698645062e-06,4.445730195213288e-10,390,6
15,2024-11-21,seasonal_persistence,B2,0.532163701958248,9.780278698645062e-06,4.445730195213288e-10,390,6
15,2024-11-22,seasonal_persistence,B0,0.18557717302260324,4.901720915534472e-06,1.302317635068638e-10,390,6
15,2024-11-22,seasonal_persistence,B1,0.18557717302260324,4.901720915534472e-06,1.302317635068638e-10,390,6
15,2024-11-22,seasonal_persistence,B2,0.18557717302260324,4.901720915534472e-06,1.302317635068638e-10,390,6
15,2024-11-25,seasonal_persistence,B0,0.13980874337150268,3.280013316189471e-06,3.171407276590446e-11,390,6
15,2024-11-25,seasonal_persistence,B1,0.13980874337150268,3.280013316189471e-06,3.171407276590446e-11,390,6
15,2024-11-25,seasonal_persistence,B2,0.13980874337150268,3.280013316189471e-06,3.171407276590446e-11,390,6
15,2024-11-26,seasonal_persistence,B0,0.18752255920409291,3.730436290889988e-06,4.035419926930299e-11,390,6
15,2024-11-26,seasonal_persistence,B1,0.18752255920409291,3.730436290889988e-06,4.035419926930299e-11,390,6
15,2024-11-26,seasonal_persistence,B2,0.18752255920409291,3.730436290889988e-06,4.035419926930299e-11,390,6
15,2024-11-27,seasonal_persistence,B0,0.2153629514323839,4.568578338668651e-06,9.588856742063485e-11,390,6
15,2024-11-27,seasonal_persistence,B1,0.2153629514323839,4.568578338668651e-06,9.588856742063485e-11,390,6
15,2024-11-27,seasonal_persistence,B2,0.2153629514323839,4.568578338668651e-06,9.588856742063485e-11,390,6
15,2024-11-29,seasonal_persistence,B0,0.3181110064546819,8.563967408530119e-06,2.1203264132353894e-10,174,6
15,2024-11-29,seasonal_persistence,B1,0.3181110064546819,8.563967408530119e-06,2.1203264132353894e-10,174,6
15,2024-11-29,seasonal_persistence,B2,0.3181110064546819,8.563967408530119e-06,2.1203264132353894e-10,174,6
15,2024-12-02,seasonal_persistence,B0,0.2195146693242198,4.574524905486703e-06,7.701638280498652e-11,390,6
15,2024-12-02,seasonal_persistence,B1,0.2195146693242198,4.574524905486703e-06,7.701638280498652e-11,390,6
15,2024-12-02,seasonal_persistence,B2,0.2195146693242198,4.574524905486703e-06,7.701638280498652e-11,390,6
15,2024-12-03,seasonal_persistence,B0,0.3381299126003454,5.269517098488736e-06,8.979719564090028e-11,390,6
15,2024-12-03,seasonal_persistence,B1,0.3381299126003454,5.269517098488736e-06,8.979719564090028e-11,390,6
15,2024-12-03,seasonal_persistence,B2,0.3381299126003454,5.269517098488736e-06,8.979719564090028e-11,390,6
15,2024-12-04,seasonal_persistence,B0,0.30368310727420145,5.6872718118645836e-06,1.197513916743257e-10,390,6
15,2024-12-04,seasonal_persistence,B1,0.30368310727420145,5.6872718118645836e-06,1.197513916743257e-10,390,6
15,2024-12-04,seasonal_persistence,B2,0.30368310727420145,5.6872718118645836e-06,1.197513916743257e-10,390,6
15,2024-12-05,seasonal_persistence,B0,0.21495476782709144,4.514277701359928e-06,6.329702983447141e-11,390,6
15,2024-12-05,seasonal_persistence,B1,0.21495476782709144,4.514277701359928e-06,6.329702983447141e-11,390,6
15,2024-12-05,seasonal_persistence,B2,0.21495476782709144,4.514277701359928e-06,6.329702983447141e-11,390,6
15,2024-12-06,seasonal_persistence,B0,0.2514910107519918,5.52045056168905e-06,1.1545087367124748e-10,390,6
15,2024-12-06,seasonal_persistence,B1,0.2514910107519918,5.52045056168905e-06,1.1545087367124748e-10,390,6
15,2024-12-06,seasonal_persistence,B2,0.2514910107519918,5.52045056168905e-06,1.1545087367124748e-10,390,6
15,2024-12-09,seasonal_persistence,B0,0.20734845825813683,5.096898392230918e-06,1.3533551181008589e-10,390,6
15,2024-12-09,seasonal_persistence,B1,0.20734845825813683,5.096898392230918e-06,1.3533551181008589e-10,390,6
15,2024-12-09,seasonal_persistence,B2,0.20734845825813683,5.096898392230918e-06,1.3533551181008589e-10,390,6
15,2024-12-10,seasonal_persistence,B0,0.22146828046284459,3.831209026253908e-06,4.1463762593900776e-11,390,6
15,2024-12-10,seasonal_persistence,B1,0.22146828046284459,3.831209026253908e-06,4.1463762593900776e-11,390,6
15,2024-12-10,seasonal_persistence,B2,0.22146828046284459,3.831209026253908e-06,4.1463762593900776e-11,390,6
15,2024-12-11,seasonal_persistence,B0,0.16741713268526545,3.5542414789584556e-06,4.15176198195499e-11,390,6
15,2024-12-11,seasonal_persistence,B1,0.16741713268526545,3.5542414789584556e-06,4.15176198195499e-11,390,6
15,2024-12-11,seasonal_persistence,B2,0.16741713268526545,3.5542414789584556e-06,4.15176198195499e-11,390,6
15,2024-12-12,seasonal_persistence,B0,0.13361846085889537,3.027132021510974e-06,3.013154153982245e-11,390,6
15,2024-12-12,seasonal_persistence,B1,0.13361846085889537,3.027132021510974e-06,3.013154153982245e-11,390,6
15,2024-12-12,seasonal_persistence,B2,0.13361846085889537,3.027132021510974e-06,3.013154153982245e-11,390,6
15,2024-12-13,seasonal_persistence,B0,0.16847135498089397,3.6552349574792362e-06,6.266898391505612e-11,390,6
15,2024-12-13,seasonal_persistence,B1,0.16847135498089397,3.6552349574792362e-06,6.266898391505612e-11,390,6
15,2024-12-13,seasonal_persistence,B2,0.16847135498089397,3.6552349574792362e-06,6.266898391505612e-11,390,6
