version,horizon_minutes,family,information_set,qlike,mae,rmse,N_sessions,N_origins,N_asset_sessions,N_calendar,status
v5,15,seasonal_persistence,B0,0.4170523617818892,6.966581759186374e-06,3.7487636264528825e-05,419,160832,2514,419,COMPLETE
v5,15,seasonal_persistence,B1,0.4170523617818892,6.966581759186374e-06,3.7487636264528825e-05,419,160832,2514,419,COMPLETE
v5,15,seasonal_persistence,B2,0.4170523617818892,6.966581759186374e-06,3.7487636264528825e-05,419,160832,2514,419,COMPLETE
v5,15,log_har,B0,0.18322848817589743,4.668957378284065e-06,3.362395058398689e-05,419,160832,2514,419,COMPLETE
v5,15,log_har,B1,0.18220758982921786,4.721580331653536e-06,3.3537768796275625e-05,419,160832,2514,419,COMPLETE
v5,15,log_har,B2,0.18067891205650088,4.694987157399646e-06,3.351221091166994e-05,419,160832,2514,419,COMPLETE
v5,15,log_ridge_harq,B0,0.18366037179378455,4.681177633411353e-06,3.3641832183673505e-05,419,160832,2514,419,COMPLETE
v5,15,log_ridge_harq,B1,0.18205096062361725,4.719170110565049e-06,3.355134896407514e-05,419,160832,2514,419,COMPLETE
v5,15,log_ridge_harq,B2,0.18091349242944227,4.691048891195784e-06,3.351900321383519e-05,419,160832,2514,419,COMPLETE
v5,15,log_elastic_net,B0,0.18350020616611984,4.657780089550935e-06,3.36503130594954e-05,419,160832,2514,419,COMPLETE
v5,15,log_elastic_net,B1,0.18224495960734508,4.686385536143473e-06,3.355963588759243e-05,419,160832,2514,419,COMPLETE
v5,15,log_elastic_net,B2,0.1809995974661458,4.6542662739030434e-06,3.352213996440649e-05,419,160832,2514,419,COMPLETE
v5,15,lightgbm_qlike,B0,0.18775025839388218,4.7374039692711726e-06,3.477237410752681e-05,419,160832,2514,419,COMPLETE
v5,15,lightgbm_qlike,B1,0.18555363911085654,4.7704734653218176e-06,3.4857009307007586e-05,419,160832,2514,419,COMPLETE
v5,15,lightgbm_qlike,B2,0.18576654218262378,4.780319574627968e-06,3.4876289606585054e-05,419,160832,2514,419,COMPLETE
v5,15,selector_primary,B0,0.18433699443101162,4.653425857675773e-06,3.368011805354968e-05,419,160832,2514,419,COMPLETE
v5,15,selector_primary,B1,0.18382389826789336,4.721788382760568e-06,3.427283404185771e-05,419,160832,2514,419,COMPLETE
v5,15,selector_primary,B2,0.18124474925915174,4.658334661822389e-06,3.354204823695789e-05,419,160832,2514,419,COMPLETE
v5,15,ensemble_top2,B0,0.18248360053098486,4.6471937842637225e-06,3.36579772564226e-05,419,160832,2514,419,COMPLETE
v5,15,ensemble_top2,B1,0.1810700172061293,4.672752201131272e-06,3.3869827823138926e-05,419,160832,2514,419,COMPLETE
v5,15,ensemble_top2,B2,0.18023514472241828,4.645138850682389e-06,3.391612071786391e-05,419,160832,2514,419,COMPLETE
v5,15,mlp_log,B0,,,,0,0,0,419,DEFERRED_COST_NOT_EVALUATED_IN_THIS_RUN
v5,15,mlp_log,B1,,,,0,0,0,419,DEFERRED_COST_NOT_EVALUATED_IN_THIS_RUN
v5,15,mlp_log,B2,,,,0,0,0,419,DEFERRED_COST_NOT_EVALUATED_IN_THIS_RUN
