claim_id,kind,source_document,source_passage_sha256,claim,artifact,artifact_sha256,selector,rendering,context,evidence_status,supporting_artifacts,test,revision_test,correction_test,current_test,prior_claim_id,display_value,presentation_role
package_number_0001,package_number,executive_summary.md,,29,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,"[""feature_sets"", ""B0"", ""@length""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0001,29,duplicate_spanish_summary
package_number_0002,package_number,executive_summary.md,,69,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,"[""feature_sets"", ""B1"", ""@length""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0002,69,duplicate_spanish_summary
package_number_0003,package_number,executive_summary.md,,138,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,"[""feature_sets"", ""B2"", ""@length""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0003,138,duplicate_spanish_summary
package_number_0004,package_number,executive_summary.md,,2009,docs/rp4/DEFENSE_PACKAGE/revision_2/correction_2/examiner_evidence.json,5bd7d7a6e85899d0542a4797671b14c534099e8806506b4fff06dd3da46143a4,"[""literature"", 0, ""year""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0004,2009,duplicate_spanish_summary
package_number_0005,package_number,executive_summary.md,,2016,docs/rp4/DEFENSE_PACKAGE/revision_2/correction_2/examiner_evidence.json,5bd7d7a6e85899d0542a4797671b14c534099e8806506b4fff06dd3da46143a4,"[""literature"", 1, ""year""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0005,2016,duplicate_spanish_summary
package_number_0006,package_number,executive_summary.md,,2015,docs/rp4/DEFENSE_PACKAGE/revision_2/correction_2/examiner_evidence.json,5bd7d7a6e85899d0542a4797671b14c534099e8806506b4fff06dd3da46143a4,"[""literature"", 2, ""year""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0006,2015,duplicate_spanish_summary
package_number_0007,package_number,executive_summary.md,,60,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,"[""windows"", ""primary"", ""warmup_sessions""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0007,60,duplicate_spanish_summary
package_number_0008,package_number,executive_summary.md,,60,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,"[""purge_minutes""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0008,60,duplicate_spanish_summary
package_number_0009,package_number,executive_summary.md,,419,artifacts/rp4_v4_b2_rv15/summary.json,451e53869bb5f5058a635302bb08ad920ce11b8771fd2c6780545255b1ac25f4,"[""N_sessions""]",.0f|es,Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0009,419,duplicate_spanish_summary
package_number_0010,package_number,executive_summary.md,,160.832,artifacts/rp4_v4_b2_rv15/summary.json,451e53869bb5f5058a635302bb08ad920ce11b8771fd2c6780545255b1ac25f4,"[""N_origins""]",",.0f|es",Historical Spanish summary rendering; English text retained without duplication.,typed_saved_evidence,{},tests/contract/test_rp4_defense_examiner_revision.py,,,tests/contract/test_rp4_horizon_pit_narrative.py,package_number_0010,"160,832",duplicate_spanish_summary
